"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,0,130,0,0,130,0,0,0.8,0.5,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,20,125,39.4,0,85.6,0,-0.2,0.8,0.4,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,20,125,39.4,0,85.6,0,-0.2,0.8,0.6,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,40,111,62,0,48.7,0,-0.4,0.8,0.3,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,40,111,62,0,48.7,0,-0.4,0.8,0.7,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,60,75.9,68.9,0,7,0,-0.6,0.8,0.2,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,60,75.9,68.9,0,7,0,-0.6,0.8,0.8,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,80,54.5,54.5,0,0,1,0.2,0.8,0.1,130,FALSE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,80,54.5,54.5,0,0,1,0.2,0.8,0.9,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,90,36.9,36.9,0,0,1,0.1,0.8,0.05,130,FALSE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,90,36.9,36.9,0,0,1,0.1,0.8,0.95,130,TRUE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,95,23.2,23.2,0,0,1,0.05,0.8,0.025,130,FALSE
2022-04-07,"Reference: Fixed, Report: Day of Week",2022-04-13,1,31400,31400,6,1,0.0101,31700,31600,250,1.02,1210,2020,2022-04-13,95,23.2,23.2,0,0,1,0.05,0.8,0.975,130,TRUE
2022-04-07,"Reference: Fixed, Report: Fixed",2022-04-13,1,31400,31400,6,1,0.0101,31700,31500,556,1,2050,1910,2022-04-13,0,22,0,22,0,0,0,-0.2,0.5,22,FALSE
2022-04-07,"Reference: Fixed, Report: Fixed",2022-04-13,1,31400,31400,6,1,0.0101,31700,31500,556,1,2050,1910,2022-04-13,20,32.2,32.2,0,0,1,0.8,-0.2,0.4,22,FALSE
2022-04-07,"Reference: Fixed, Report: Fixed",2022-04-13,1,31400,31400,6,1,0.0101,31700,31500,556,1,2050,1910,2022-04-13,20,32.2,32.2,0,0,1,0.8,-0.2,0.6,22,TRUE
