"reference_date","holiday","model","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,0,35,0,35,0,0,0,-0.95,0.5,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,20,34.2,1.2,33,0,0,-0.2,-0.95,0.4,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,20,34.2,1.2,33,0,0,-0.2,-0.95,0.6,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,40,32.1,2.1,30,0,0,-0.4,-0.95,0.3,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,40,32.1,2.1,30,0,0,-0.4,-0.95,0.7,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,60,28.4,2.4,26,0,0,-0.6,-0.95,0.2,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,60,28.4,2.4,26,0,0,-0.6,-0.95,0.8,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,80,20,2,18,0,0,-0.8,-0.95,0.1,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,80,20,2,18,0,0,-0.8,-0.95,0.9,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,90,10.4,1.45,9,0,0,-0.9,-0.95,0.05,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,90,10.4,1.45,9,0,0,-0.9,-0.95,0.95,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,95,0.975,0.975,0,0,1,0.05,-0.95,0.025,35,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-25,1,26300,26300,1,6,0.00144,26300,26300,11,1.01,3340,3240,2022-02-25,95,0.975,0.975,0,0,1,0.05,-0.95,0.975,35,TRUE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,0,8,0,8,0,0,0,-0.2,0.5,8,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,20,13.4,13.4,0,0,1,0.8,-0.2,0.4,8,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,20,13.4,13.4,0,0,1,0.8,-0.2,0.6,8,TRUE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,40,21.7,21.7,0,0,1,0.6,-0.2,0.3,8,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,40,21.7,21.7,0,0,1,0.6,-0.2,0.7,8,TRUE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,60,27.6,27.6,0,0,1,0.4,-0.2,0.2,8,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,60,27.6,27.6,0,0,1,0.4,-0.2,0.8,8,TRUE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,80,29,29,0,0,1,0.2,-0.2,0.1,8,FALSE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,80,29,29,0,0,1,0.2,-0.2,0.9,8,TRUE
2022-02-19,FALSE,"Reference: Fixed, Report: Fixed",2022-02-25,1,26300,26300,1,6,0.00144,26400,26400,260,1,4000,3660,2022-02-25,90,25,25,0,0,1,0.1,-0.2,0.05,8,FALSE
