"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,0,515,0,515,0,0,0,-0.9,0.5,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,20,501,32,469,0,0,-0.2,-0.9,0.4,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,20,501,32,469,0,0,-0.2,-0.9,0.6,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,40,449,53.2,396,0,0,-0.4,-0.9,0.3,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,40,449,53.2,396,0,0,-0.4,-0.9,0.7,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,60,344,62.2,282,0,0,-0.6,-0.9,0.2,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,60,344,62.2,282,0,0,-0.6,-0.9,0.8,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,80,129,53.6,74.9,0,0,-0.8,-0.9,0.1,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,80,129,53.6,74.9,0,0,-0.8,-0.9,0.9,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,90,39.2,39.2,0,0,1,0.1,-0.9,0.05,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,90,39.2,39.2,0,0,1,0.1,-0.9,0.95,515,TRUE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,95,25.7,25.7,0,0,1,0.05,-0.9,0.025,515,FALSE
2022-04-11,"Reference: Fixed, Report: Day of Week",2022-04-17,1,29800,29800,6,1,0,30100,30000,280,1.02,145,1380,2022-04-17,95,25.7,25.7,0,0,1,0.05,-0.9,0.975,515,TRUE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,0,605,0,605,0,0,0,-0.95,0.5,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,20,596,14.4,582,0,0,-0.2,-0.95,0.4,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,20,596,14.4,582,0,0,-0.2,-0.95,0.6,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,40,569,24.4,545,0,0,-0.4,-0.95,0.3,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,40,569,24.4,545,0,0,-0.4,-0.95,0.7,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,60,500,32.8,467,0,0,-0.6,-0.95,0.2,605,FALSE
2022-04-11,"Reference: Fixed, Report: Fixed",2022-04-17,1,29800,29800,6,1,0,30000,29900,349,1,1920,1880,2022-04-17,60,500,32.8,467,0,0,-0.6,-0.95,0.8,605,FALSE
