"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,0,30,0,30,0,0,0,-0.6,0.5,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,20,27.4,8.4,19,0,0,-0.2,-0.6,0.4,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,20,27.4,8.4,19,0,0,-0.2,-0.6,0.6,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,40,15.5,13.5,2,0,0,-0.4,-0.6,0.3,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,40,15.5,13.5,2,0,0,-0.4,-0.6,0.7,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,60,16.2,16.2,0,0,1,0.4,-0.6,0.2,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,60,16.2,16.2,0,0,1,0.4,-0.6,0.8,30,TRUE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,80,15.3,15.3,0,0,1,0.2,-0.6,0.1,30,FALSE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,80,15.3,15.3,0,0,1,0.2,-0.6,0.9,30,TRUE
2022-06-15,"Reference: Fixed, Report: Day of Week",2022-06-21,1,12300,12300,6,1,0.00179,12300,12300,88.2,1,2130,1910,2022-06-21,90,11,11,0,0,1,0.1,-0.6,0.05,30,FALSE
