"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,0,20,0,20,0,0,0,-0.8,0.5,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,20,20,2,18,0,0,-0.2,-0.8,0.4,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,20,20,2,18,0,0,-0.2,-0.8,0.6,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,40,16.6,3.6,13,0,0,-0.4,-0.8,0.3,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,40,16.6,3.6,13,0,0,-0.4,-0.8,0.7,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,60,10.8,3.8,7,0,0,-0.6,-0.8,0.2,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,60,10.8,3.8,7,0,0,-0.6,-0.8,0.8,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,80,3,3,0,0,1,0.2,-0.8,0.1,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,80,3,3,0,0,1,0.2,-0.8,0.9,20,TRUE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,90,2.15,2.15,0,0,1,0.1,-0.8,0.05,20,FALSE
2022-06-17,"Reference: Fixed, Report: Day of Week",2022-06-23,1,11500,11500,6,1,0.00173,11500,11500,17.5,1,1880,1940,2022-06-23,90,2.15,2.15,0,0,1,0.1,-0.8,0.95,20,TRUE
