"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,0,122,0,122,0,0,0,-0.8,0.5,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,20,118,9.2,109,0,0,-0.2,-0.8,0.4,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,20,118,9.2,109,0,0,-0.2,-0.8,0.6,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,40,104,15.3,89,0,0,-0.4,-0.8,0.3,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,40,104,15.3,89,0,0,-0.4,-0.8,0.7,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,60,70,19.2,50.8,0,0,-0.6,-0.8,0.2,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,60,70,19.2,50.8,0,0,-0.6,-0.8,0.8,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,80,17.5,17.5,0,0,1,0.2,-0.8,0.1,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,80,17.5,17.5,0,0,1,0.2,-0.8,0.9,122,TRUE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,90,12.9,12.9,0,0,1,0.1,-0.8,0.05,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,90,12.9,12.9,0,0,1,0.1,-0.8,0.95,122,TRUE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,95,8.73,8.73,0,0,1,0.05,-0.8,0.025,122,FALSE
2022-03-20,"Reference: Fixed, Report: Day of Week",2022-03-26,1,66600,66600,6,1,0,66600,66600,94,1.12,11.6,59.9,2022-03-26,95,8.73,8.73,0,0,1,0.05,-0.8,0.975,122,TRUE
2022-03-20,"Reference: Fixed, Report: Fixed",2022-03-26,1,66600,66600,6,1,0,66800,66600,485,0.999,1980,1960,2022-03-26,0,98,0,98,0,0,0,-0.4,0.5,98,FALSE
