"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,0,17,0,0,17,0,0,0.4,0.5,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,20,14.2,13.2,0,1,0,-0.2,0.4,0.4,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,20,14.2,13.2,0,1,0,-0.2,0.4,0.6,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,40,22.5,22.5,0,0,1,0.6,0.4,0.3,17,FALSE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,40,22.5,22.5,0,0,1,0.6,0.4,0.7,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,60,26.2,26.2,0,0,1,0.4,0.4,0.2,17,FALSE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,60,26.2,26.2,0,0,1,0.4,0.4,0.8,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,80,25,25,0,0,1,0.2,0.4,0.1,17,FALSE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,80,25,25,0,0,1,0.2,0.4,0.9,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,90,20.5,20.5,0,0,1,0.1,0.4,0.05,17,FALSE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,90,20.5,20.5,0,0,1,0.1,0.4,0.95,17,TRUE
2022-04-21,"Reference: Fixed, Report: Day of Week",2022-04-27,1,14400,14400,6,1,0.00811,14500,14500,172,1,1850,1540,2022-04-27,95,14.6,14.6,0,0,1,0.05,0.4,0.025,17,FALSE
