"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,0,29,0,29,0,0,0,-0.2,0.5,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,20,21.6,21.6,0,0,1,0.8,-0.2,0.4,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,20,21.6,21.6,0,0,1,0.8,-0.2,0.6,29,TRUE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,40,37,37,0,0,1,0.6,-0.2,0.3,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,40,37,37,0,0,1,0.6,-0.2,0.7,29,TRUE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,60,43.6,43.6,0,0,1,0.4,-0.2,0.2,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,60,43.6,43.6,0,0,1,0.4,-0.2,0.8,29,TRUE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,80,43.1,43.1,0,0,1,0.2,-0.2,0.1,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,80,43.1,43.1,0,0,1,0.2,-0.2,0.9,29,TRUE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,90,35.3,35.3,0,0,1,0.1,-0.2,0.05,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,90,35.3,35.3,0,0,1,0.1,-0.2,0.95,29,TRUE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,95,26.1,26.1,0,0,1,0.05,-0.2,0.025,29,FALSE
2022-05-02,"Reference: Fixed, Report: Day of Week",2022-05-08,1,10200,10200,6,1,0,10400,10300,321,1,2110,1810,2022-05-08,95,26.1,26.1,0,0,1,0.05,-0.2,0.975,29,TRUE
2022-05-02,"Reference: Fixed, Report: Fixed",2022-05-08,1,10200,10200,6,1,0,10300,10200,195,0.999,2020,1790,2022-05-08,0,76,0,76,0,0,0,-0.6,0.5,76,FALSE
2022-05-02,"Reference: Fixed, Report: Fixed",2022-05-08,1,10200,10200,6,1,0,10300,10200,195,0.999,2020,1790,2022-05-08,20,69.8,8.8,61,0,0,-0.2,-0.6,0.4,76,FALSE
2022-05-02,"Reference: Fixed, Report: Fixed",2022-05-08,1,10200,10200,6,1,0,10300,10200,195,0.999,2020,1790,2022-05-08,20,69.8,8.8,61,0,0,-0.2,-0.6,0.6,76,FALSE
