"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,0,95,0,95,0,0,0,-0.6,0.5,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,20,84.8,20.8,64,0,0,-0.2,-0.6,0.4,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,20,84.8,20.8,64,0,0,-0.2,-0.6,0.6,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,40,58.9,33.9,25,0,0,-0.4,-0.6,0.3,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,40,58.9,33.9,25,0,0,-0.4,-0.6,0.7,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,60,35.8,35.8,0,0,1,0.4,-0.6,0.2,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,60,35.8,35.8,0,0,1,0.4,-0.6,0.8,95,TRUE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,80,28.8,28.8,0,0,1,0.2,-0.6,0.1,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,80,28.8,28.8,0,0,1,0.2,-0.6,0.9,95,TRUE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,90,20.1,20.1,0,0,1,0.1,-0.6,0.05,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,90,20.1,20.1,0,0,1,0.1,-0.6,0.95,95,TRUE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,95,13,13,0,0,1,0.05,-0.6,0.025,95,FALSE
2022-03-15,"Reference: Fixed, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,73700,73700,138,1.01,1830,1730,2022-03-21,95,13,13,0,0,1,0.05,-0.6,0.975,95,TRUE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,0,148,0,148,0,0,0,-0.6,0.5,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,20,136,24.8,111,0,0,-0.2,-0.6,0.4,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,20,136,24.8,111,0,0,-0.2,-0.6,0.6,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,40,70.2,52.2,18,0,0,-0.4,-0.6,0.3,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,40,70.2,52.2,18,0,0,-0.4,-0.6,0.7,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,60,64.6,64.6,0,0,1,0.4,-0.6,0.2,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,60,64.6,64.6,0,0,1,0.4,-0.6,0.8,148,TRUE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,80,64.8,64.8,0,0,1,0.2,-0.6,0.1,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,80,64.8,64.8,0,0,1,0.2,-0.6,0.9,148,TRUE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,90,61.4,61.4,0,0,1,0.1,-0.6,0.05,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,90,61.4,61.4,0,0,1,0.1,-0.6,0.95,148,TRUE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,95,39.1,39.1,0,0,1,0.05,-0.6,0.025,148,FALSE
2022-03-15,"Reference: Fixed, Report: Fixed",2022-03-21,1,73600,73600,6,1,0.0139,73800,73600,490,1,2060,1960,2022-03-21,95,39.1,39.1,0,0,1,0.05,-0.6,0.975,148,TRUE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,0,81,0,0,81,0,0,0.4,0.5,81,TRUE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,20,79.1,59.1,0,20,0,-0.2,0.4,0.4,81,TRUE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,20,79.1,59.1,0,20,0,-0.2,0.4,0.6,81,TRUE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,40,95.7,95.7,0,0,1,0.6,0.4,0.3,81,FALSE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,40,95.7,95.7,0,0,1,0.6,0.4,0.7,81,TRUE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,60,109,109,0,0,1,0.4,0.4,0.2,81,FALSE
2022-03-15,"Reference: Week, Report: Day of Week",2022-03-21,1,73600,73600,6,1,0.0139,74000,73900,399,NA,NA,NA,2022-03-21,60,109,109,0,0,1,0.4,0.4,0.8,81,TRUE
