"reference_date","holiday","model","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,0,25,0,25,0,0,0,-0.6,0.5,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,20,22.6,5.6,17,0,0,-0.2,-0.6,0.4,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,20,22.6,5.6,17,0,0,-0.2,-0.6,0.6,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,40,15.7,8.7,7,0,0,-0.4,-0.6,0.3,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,40,15.7,8.7,7,0,0,-0.4,-0.6,0.7,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,60,9.8,9.8,0,0,1,0.4,-0.6,0.2,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,60,9.8,9.8,0,0,1,0.4,-0.6,0.8,25,TRUE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,80,8.5,8.5,0,0,1,0.2,-0.6,0.1,25,FALSE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,80,8.5,8.5,0,0,1,0.2,-0.6,0.9,25,TRUE
2022-02-18,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-24,1,24800,24800,1,6,0.00202,24800,24800,54.4,1.01,3160,3260,2022-02-24,90,6.25,6.25,0,0,1,0.1,-0.6,0.05,25,FALSE
