"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,0,432,0,432,0,0,0,-0.8,0.5,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,20,416,43.2,373,0,0,-0.2,-0.8,0.4,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,20,416,43.2,373,0,0,-0.2,-0.8,0.6,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,40,353,67.8,285,0,0,-0.4,-0.8,0.3,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,40,353,67.8,285,0,0,-0.4,-0.8,0.7,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,60,243,73.2,170,0,0,-0.6,-0.8,0.2,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,60,243,73.2,170,0,0,-0.6,-0.8,0.8,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,80,68.4,68.4,0,0,1,0.2,-0.8,0.1,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,80,68.4,68.4,0,0,1,0.2,-0.8,0.9,432,TRUE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,90,46.8,46.8,0,0,1,0.1,-0.8,0.05,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,90,46.8,46.8,0,0,1,0.1,-0.8,0.95,432,TRUE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,95,29.2,29.2,0,0,1,0.05,-0.8,0.025,432,FALSE
2022-03-14,"Reference: Fixed, Report: Day of Week",2022-03-20,1,78600,78600,6,1,0,78900,78800,338,1.08,17.2,1360,2022-03-20,95,29.2,29.2,0,0,1,0.05,-0.8,0.975,432,TRUE
2022-03-14,"Reference: Fixed, Report: Fixed",2022-03-20,1,78600,78600,6,1,0,78800,78700,259,1,1820,1860,2022-03-20,0,563,0,563,0,0,0,-0.95,0.5,563,FALSE
