"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,0,1,0,1,0,0,0,-0.2,0.5,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,20,2,2,0,0,1,0.8,-0.2,0.4,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,20,2,2,0,0,1,0.8,-0.2,0.6,1,TRUE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,40,3.3,3.3,0,0,1,0.6,-0.2,0.3,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,40,3.3,3.3,0,0,1,0.6,-0.2,0.7,1,TRUE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,60,3.6,3.6,0,0,1,0.4,-0.2,0.2,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,60,3.6,3.6,0,0,1,0.4,-0.2,0.8,1,TRUE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,80,3.11,3.11,0,0,1,0.2,-0.2,0.1,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,80,3.11,3.11,0,0,1,0.2,-0.2,0.9,1,TRUE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,90,2.2,2.2,0,0,1,0.1,-0.2,0.05,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,90,2.2,2.2,0,0,1,0.1,-0.2,0.95,1,TRUE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,95,1.33,1.33,0,0,1,0.05,-0.2,0.025,1,FALSE
2022-06-02,"Reference: Fixed, Report: Day of Week",2022-06-08,1,5000,5000,6,1,0.0054,5010,5000,15.6,1,1830,1900,2022-06-08,95,1.33,1.33,0,0,1,0.05,-0.2,0.975,1,TRUE
2022-06-02,"Reference: Fixed, Report: Fixed",2022-06-08,1,5000,5000,6,1,0.0054,5050,5010,105,1,2110,2000,2022-06-08,0,7,0,0,7,0,0,0.2,0.5,7,TRUE
2022-06-02,"Reference: Fixed, Report: Fixed",2022-06-08,1,5000,5000,6,1,0.0054,5050,5010,105,1,2110,2000,2022-06-08,20,8,8,0,0,1,0.8,0.2,0.4,7,TRUE
2022-06-02,"Reference: Fixed, Report: Fixed",2022-06-08,1,5000,5000,6,1,0.0054,5050,5010,105,1,2110,2000,2022-06-08,20,8,8,0,0,1,0.8,0.2,0.6,7,TRUE
2022-06-02,"Reference: Fixed, Report: Fixed",2022-06-08,1,5000,5000,6,1,0.0054,5050,5010,105,1,2110,2000,2022-06-08,40,13.2,13.2,0,0,1,0.6,0.2,0.3,7,FALSE
