"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,0,13,0,13,0,0,0,-0.6,0.5,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,20,11.2,3.2,8,0,0,-0.2,-0.6,0.4,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,20,11.2,3.2,8,0,0,-0.2,-0.6,0.6,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,40,6.4,5.4,1,0,0,-0.4,-0.6,0.3,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,40,6.4,5.4,1,0,0,-0.4,-0.6,0.7,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,60,6.24,6.24,0,0,1,0.4,-0.6,0.2,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,60,6.24,6.24,0,0,1,0.4,-0.6,0.8,13,TRUE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,80,5.2,5.2,0,0,1,0.2,-0.6,0.1,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,80,5.2,5.2,0,0,1,0.2,-0.6,0.9,13,TRUE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,90,3.8,3.8,0,0,1,0.1,-0.6,0.05,13,FALSE
2022-06-16,"Reference: Fixed, Report: Day of Week",2022-06-22,1,11800,11800,6,1,0.01,11800,11800,27.8,1,1750,1980,2022-06-22,90,3.8,3.8,0,0,1,0.1,-0.6,0.95,13,TRUE
