"reference_date","holiday","model","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,0,18,0,18,0,0,0,-0.8,0.5,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,20,16.8,2.8,14,0,0,-0.2,-0.8,0.4,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,20,16.8,2.8,14,0,0,-0.2,-0.8,0.6,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,40,12.8,4.8,8,0,0,-0.4,-0.8,0.3,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,40,12.8,4.8,8,0,0,-0.4,-0.8,0.7,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,60,6,5,1,0,0,-0.6,-0.8,0.2,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,60,6,5,1,0,0,-0.6,-0.8,0.8,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,80,4,4,0,0,1,0.2,-0.8,0.1,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,80,4,4,0,0,1,0.2,-0.8,0.9,18,TRUE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,90,2.85,2.85,0,0,1,0.1,-0.8,0.05,18,FALSE
2022-02-20,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-26,1,28300,28300,1,6,0,28400,28300,21.3,1.04,81.7,343,2022-02-26,90,2.85,2.85,0,0,1,0.1,-0.8,0.95,18,TRUE
