"model","samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","run_time","nowcast_date"
"Reference: Fixed, Report: Fixed",4000,1,0,0,6,2384,0.596,38.7,2022-02-23
"Reference: Fixed, Report: Day of Week",4000,1,161,0.04025,7,1264,0.316,71.9,2022-02-23
