"model","samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","run_time","nowcast_date"
"Reference: Fixed, Report: Fixed",4000,1,0,0,6,547,0.13675,32.3,2022-02-25
"Reference: Fixed, Report: Day of Week",4000,8.38,2029,0.50725,12,1971,0.49275,815.8,2022-02-25
