"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-03-14,2022-03-23,1,79214,79214,9,1,0.000681697679703083,79214,79214,0,0,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,NA,NA,NA,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-15,2022-03-23,1,73706,73706,8,1,0.000325617995821236,73720.2025,73707,38.2419758656513,1.4826,73706,73706,73706,73706,73706,73706,73707,73708,73711,73720,73746,73791,73828,0.999718264517499,1961.5478813538,1866.07581598738,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-16,2022-03-23,1,73419,73419,7,1,0.00049033628897152,73491.5635,73434,166.729449475524,22.239,73419,73419,73419,73420,73421,73426,73434,73446,73468,73506.2,73605,73779,73971.1,1.00020936298159,1971.90583431416,2066.58353295116,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-17,2022-03-23,1,67165,67165,6,1,0.000789101466537631,67436.1555,67235,564.154994437366,99.3342,67165,67165,67166,67172,67182.7,67204,67235,67282.4,67353.3,67504.2,67912.2,68362.35,69094.425,0.999299798392299,1880.45963121219,2018.82288653904,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-18,2022-03-23,1,61363,61363,5,1,0.00174372178674446,62274.6135,61620,1868.51657397288,355.824,61364,61366.95,61375,61403,61446,61518,61620,61808,62101,62602.8,63644.6,65334.15,67144.125,0.999693654914327,1961.43537753391,1859.36839890436,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-19,2022-03-23,1,54687,54687,4,1,0.0104595242013641,57809.211,55514,6697.7883922346,1122.3282,54698,54709.95,54741,54824,54967.4,55183.2,55514,56081.2,57048.3,58828.2,62785.9,68023.1,74490.625,1.00096105872564,1894.84537812798,1944.8469660938,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-20,2022-03-23,1,66155,66155,3,1,0.0265437230745975,77107.572,69032,28425.4537971622,3902.2032,66192.975,66234.95,66355,66686.2,67135.4,67888.6,69032,71096.4,74193.3,80319.2,93731.3,112629.15,131116.025,1.00039849500964,1912.51304648237,1887.71126001595,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-21,2022-03-23,1,85697,85697,2,1,0.4591642647934,116589.4935,95714.5,63288.5119224543,13321.161,85824.775,85975.65,86343.9,87521.6,88999.1,91887.6,95714.5,101182.6,111551.1,127613.6,162384.5,217905.95,280812.075,1.00068192150498,2137.3817362874,1928.71698392557,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-22,2022-03-23,1,43615,43615,1,1,1,114964.6135,70119.5,142678.217934338,33353.3109,44081.975,44545.65,45728.1,49284.6,53628,60359,70119.5,82566.2,101868.5,139281.4,215041.2,329567.25,489726.275,1.00071797064784,1824.03864495719,1663.80603466325,2022-03-23
"Reference: Fixed, Report: Fixed",2022-03-23,2022-03-23,1,0,0,0,NA,NA,77887.131,34022,139304.852333412,41025.0246,761.975,1779.6,3907.9,8847.8,15293.9,23469.8,34022,50257.2,72782.3,107473,180980.9,282867.4,435079.475,0.999836015913169,2124.46321799035,2139.83038910123,2022-03-23
"Reference: Fixed, Report: Day of Week",2022-03-14,2022-03-23,1,79214,79214,9,1,0.000681697679703083,79214,79214,0,0,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,79214,NA,NA,NA,2022-03-23
"Reference: Fixed, Report: Day of Week",2022-03-15,2022-03-23,1,73706,73706,8,1,0.000325617995821236,73756.702,73727.5,74.5895837164915,28.9107,73706,73706,73707,73709,73713,73718.6,73727.5,73739,73758,73789.2,73839.1,73907,73977,1.07449179158712,19.3461400685394,230.588003790815,2022-03-23
"Reference: Fixed, Report: Day of Week",2022-03-16,2022-03-23,1,73419,73419,7,1,0.00049033628897152,73528.1225,73493,113.115122814125,75.6126,73422,73425,73431,73443,73457,73473,73493,73515.4,73547,73591,73677.1,73755.05,73836.025,1.0554537579652,39.6816777525519,1877.95804984033,2022-03-23
"Reference: Fixed, Report: Day of Week",2022-03-17,2022-03-23,1,67165,67165,6,1,0.000789101466537631,67427.391,67366.5,221.598212995957,171.2403,67182.975,67196,67215,67251,67286,67325,67366.5,67419.4,67482,67564.2,67727,67882.05,68016.175,1.03996116690138,43.1169020491943,1726.55745361012,2022-03-23
