"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-06-01,2022-06-10,1,5649,5649,9,1,0.000885112409275978,5649,5649,0,0,5649,5649,5649,5649,5649,5649,5649,5649,5649,5649,5649,5649,5649,NA,NA,NA,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-02,2022-06-10,1,5006,5006,8,1,0.0013983220135837,5009.8295,5006,10.1286585791163,0,5006,5006,5006,5006,5006,5006,5006,5006,5008,5010,5017.1,5027.05,5039,0.999031611906842,1960.91838681491,1966.1896613193,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-03,2022-06-10,1,5493,5493,7,1,0.000182049881667577,5509.556,5497,34.1888768995389,5.9304,5493,5493,5493,5493,5494,5495,5497,5500,5505,5516,5540,5570,5600.025,0.999600740849314,2020.02046630664,1813.84731286789,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-04,2022-06-10,1,6189,6189,6,1,0.000807884957182097,6249.956,6207,114.29482366826,25.2042,6189,6189,6189,6191,6194,6199,6207,6218,6237,6272,6362,6478.1,6569.025,0.999598387057189,2000.36336559679,1962.67898620287,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-05,2022-06-10,1,8245,8245,5,1,0.00242571255306246,8445.7785,8303,469.475154718755,78.5778,8245,8246,8248,8255,8266,8281,8303,8344,8407.3,8520,8750.3,9108.55,9447.025,0.99919423503719,2054.90984660865,1977.66847029662,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-06,2022-06-10,1,9678,9678,4,1,0.0142591444513329,10378.867,9905,1409.75301776465,298.0026,9680,9683.95,9694,9722,9759,9828,9905,10038.8,10241,10611.2,11369.7,12649.15,14153.3,1.00067207562897,1794.7928129628,1707.24200485312,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-07,2022-06-10,1,9170,9170,3,1,0.0432933478735005,11216.054,9865.5,4404.55253897809,907.3512,9178,9189.95,9214,9303,9422.7,9598,9865.5,10209,10751.5,11891,14238.1,17284,21066.775,0.999874486294555,1956.48251648994,1937.23761852409,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-08,2022-06-10,1,9200,9200,2,1,0.275978260869565,15099.095,11217.5,12071.1350401507,2577.5001,9235.975,9281,9363.9,9624.8,9984.1,10438.4,11217.5,12263.8,13924.4,17097,24156.7,32664.25,45826.775,0.999956728971036,1814.13793735114,1842.68617350632,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-09,2022-06-10,1,6067,6067,1,1,1,16129.824,10274.5,15208.1309491833,5360.3403,6157.975,6235.9,6443.9,6920.4,7722,8720.2,10274.5,12325.8,16020,21894.2,33403.9,45317.65,57596.475,1.00062469663589,2117.64290879589,2050.95576153299,2022-06-10
"Reference: Fixed, Report: Fixed",2022-06-10,2022-06-10,1,0,0,0,NA,NA,11582.59,5774,16500.3298987712,6984.5286,168.975,298.9,631.5,1363.8,2529,4131,5774,8146.8,11806.7,17191,28652,43873.45,57878.075,1.00189377753894,1721.30355495875,1976.3459896403,2022-06-10
