"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-14,2022-04-23,1,21315,21315,9,1,0,21315,21315,0,0,21315,21315,21315,21315,21315,21315,21315,21315,21315,21315,21315,21315,21315,NA,NA,NA,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-15,2022-04-23,1,17219,17219,8,1,0,17238.5505,17219,56.8578917977077,0,17219,17219,17219,17219,17219,17219,17219,17220,17224,17235,17274,17335.05,17396.075,1.00190806047675,1957.46956558502,1906.0987022529,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-16,2022-04-23,1,16006,16006,7,1,0,16078.553,16016,200.476037250729,14.826,16006,16006,16006,16006,16007,16010,16016,16027,16049,16090.2,16188.2,16321.1,16537,1.00042608790589,2030.35747678634,1785.05106035707,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-17,2022-04-23,1,16159,16159,6,1,0,16418.775,16213,612.595741207914,78.5778,16159,16159,16160,16164,16173,16188,16213,16259,16334,16467.4,16833.6,17341.45,18016.7,1.00008520065952,1963.81247422156,2030.40429167242,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-18,2022-04-23,1,20416,20416,5,1,0,21288.1805,20617,2073.29125359436,284.6592,20416,20417,20421,20441,20472.7,20529,20617,20760,20993.3,21459.2,22695.2,24353.65,26814.9,0.999720170343862,1861.58626779,1871.82217143872,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-19,2022-04-23,1,20047,20047,4,1,0,22763.0935,20692.5,6247.82905950028,907.3512,20049.975,20055,20071.9,20132,20250.7,20416.4,20692.5,21139,22058.2,23547,26939.7,32052.35,37406.675,1.00073660405555,1817.75128201318,1937.3896235401,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-20,2022-04-23,1,15697,15697,3,1,0,24529.3535,17706,21585.8935918488,2773.2033,15715.975,15732.95,15796.9,15998.2,16331.7,16822.4,17706,18980,21728.6,26382,37321.6,55720.75,74633.1999999999,1.00089703624094,2039.42245139004,1962.92942082792,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-21,2022-04-23,1,9368,9368,2,1,0,30524.3395,14686.5,47903.7986757211,7335.9048,9413.975,9476.85,9655,10205.8,11058.7,12581.8,14686.5,18609,24862.8,37081.8,62599.8,101106.3,147072.65,1.00014661098332,2005.3264615712,2007.50898934614,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-22,2022-04-23,1,0,0,1,NA,NA,36535.183,10752,76475.9628671502,14553.9429,123.85,279.95,691.7,1833.8,3805,6654.6,10752,18178.2,29700.1,48227.4,93806.7000000001,153571.7,233256.575,1.00008332523638,1958.79021351268,1786.49767901192,2022-04-23
"Reference: Fixed, Report: Fixed",2022-04-23,2022-04-23,1,0,0,0,NA,NA,40962.312,16473.5,72111.5314798878,20974.3422,275.925,579.95,1251.1,3264.6,6136.7,10556.8,16473.5,24451.6,36952.5,59816.8,106354.4,159589.15,227135.249999999,0.99967150882823,1998.83033597629,2048.6886391351,2022-04-23
