"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-10,2022-05-19,1,8091,8091,9,1,0.000617970584600173,8091,8091,0,0,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,NA,NA,NA,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-11,2022-05-19,1,7205,7205,8,1,0.00111034004163775,7208.6575,7205,11.1632209734131,0,7205,7205,7205,7205,7205,7205,7205,7205,7206,7208,7215,7225,7240,1.00075124484709,1933.16570664339,1869.97415847986,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-12,2022-05-19,1,6332,6332,7,1,0.00189513581806696,6347.543,6334,39.0864429951487,2.9652,6332,6332,6332,6332,6332,6333,6334,6337,6341,6350,6373.1,6413,6447,1.00071796019816,1575.72151811735,1492.20577712336,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-13,2022-05-19,1,5691,5691,6,1,0.00316288877174486,5750.6855,5706,130.943853372803,22.239,5691,5691,5691,5692,5695,5699,5706,5718.4,5737,5774,5855.1,5962.15,6050.025,1.0009342122593,2211.06193940677,1977.29664244982,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-14,2022-05-19,1,5029,5029,5,1,0.00954464108172599,5222.7475,5080,404.065537039304,72.6474,5029,5029,5030.9,5036,5044,5057,5080,5118,5174,5289.4,5553.2,5918.5,6322.85,1.00156384964258,2006.7409412524,1856.84424013035,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-15,2022-05-19,1,6635,6635,4,1,0.0119065561416729,7497.272,6849,1872.43821565672,299.4852,6636,6638,6643,6664,6701,6759.6,6849,6998.4,7240.9,7734,8935.8,10504.9,12256,1.00116751265268,1908.28669307089,1917.83173968002,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-16,2022-05-19,1,7669,7669,3,1,0.0485069761376972,10366.144,8321,5957.60051792915,902.9034,7675,7685,7702.9,7774,7883.7,8054.6,8321,8818,9584.9,10966.6,14780.2,20153.5,25949.05,0.999910437700242,2043.56919228945,2048.80777621637,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-17,2022-05-19,1,6336,6336,2,1,0.320707070707071,13028.073,8505,12256.3525643546,2860.6767,6362.95,6397,6473,6715.8,7072.4,7636,8505,9680.6,11813.2,15855,25388.5,34746.55,49531.7999999999,0.9997365257497,2171.09489235182,1964.47089435165,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-18,2022-05-19,1,4099,4099,1,1,1,16482.9465,8739.5,22654.5771927778,5964.4998,4166.95,4251.95,4470.9,4984.6,5806.7,7066.2,8739.5,11076.8,15197.6,21468.6,35690.9,54869.35,77072.525,1.00002749001265,2000.11895007956,1732.84206155672,2022-05-19
"Reference: Fixed, Report: Fixed",2022-05-19,2022-05-19,1,0,0,0,NA,NA,14122.5115,5896,25645.4604454589,7393.7262,124,237.95,526.7,1337.8,2406.8,3820.6,5896,8892.8,12720.5,20625,34475.8,53526.2,74588.7,1.00115726967934,1935.51329846694,1475.40924580302,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-10,2022-05-19,1,8091,8091,9,1,0.000617970584600173,8091,8091,0,0,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,8091,NA,NA,NA,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-11,2022-05-19,1,7205,7205,8,1,0.00111034004163775,7208.0015,7206,5.5260081553565,1.4826,7205,7205,7205,7205,7205,7205,7206,7207,7208,7210,7213,7218,7223,1.00169403605043,1805.43397982302,1852.98307350621,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-12,2022-05-19,1,6332,6332,7,1,0.00189513581806696,6339.328,6335,12.0395968348601,4.4478,6332,6332,6332,6332,6333,6334,6335,6337,6339,6343,6352,6361,6373,1.00119718214516,2023.94979950915,1932.62723456995,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-13,2022-05-19,1,5691,5691,6,1,0.00316288877174486,5702.6895,5696,19.9066377588841,7.413,5691,5691,5691,5692,5693,5694,5696,5698,5702,5708,5720.1,5736.05,5751.025,0.999488065864675,1975.18441899077,1769.1417535193,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-14,2022-05-19,1,5029,5029,5,1,0.00954464108172599,5052.696,5040,38.2095350440717,14.826,5029,5029,5029,5031,5033,5036,5040,5045,5053,5065,5091,5120,5160.025,1.00013639376665,1751.51589605875,1960.93693936746,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-15,2022-05-19,1,6635,6635,4,1,0.0119065561416729,6744.2325,6681,202.290437624538,54.8562,6636,6637,6640,6646,6654,6665,6681,6701,6729.3,6783,6910.1,7061.2,7225.025,1.00108631563538,2162.0970497201,1930.40720021217,2022-05-19
"Reference: Fixed, Report: Day of Week",2022-05-16,2022-05-19,1,7669,7669,3,1,0.0485069761376972,8347.681,7959,1092.5821663079,357.3066,7677,7687,7701,7735,7790.7,7860,7959,8102.4,8311,8659.8,9391.1,10416.2,11391.875,1.00119677894656,1990.43622534101,1999.10989793983,2022-05-19
