"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-15,2022-02-24,1,39903,39903,FALSE,1,9,0.000977370122547177,39903,39903,0,0,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,NA,NA,NA,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-16,2022-02-24,1,39204,39204,FALSE,1,8,0.00109682685440261,39210.16725,39204,17.9386796195853,0,39204,39204,39204,39204,39204,39204,39204,39205,39206,39210,39221,39237,39255.025,0.999412266402956,4129.92669827125,4022.04938187934,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-17,2022-02-24,1,33967,33967,FALSE,1,7,0.00182530102746784,33996.39975,33973,70.2177583189134,8.8956,33967,33967,33967,33967,33968,33970,33973,33978,33987,34006,34049,34099.1,34169.025,0.999746234146984,3650.26953970172,3772.90730284678,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-18,2022-02-24,1,24810,24810,FALSE,1,6,0.00201531640467553,24926.408,24839,254.974889125422,41.5128,24810,24810,24810,24813,24818,24826,24839,24860,24898.3,24966,25127,25346,25570.2,0.999748171824599,3808.68827113515,3887.14525126693,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-19,2022-02-24,1,26286,26286,FALSE,1,5,0.000951076618732405,26748.89375,26406,1043.05039331361,166.0512,26286,26288,26291,26302,26324,26354,26406,26487,26614.3,26861.2,27493,28265.4,29621.325,0.999846875280346,3945.04734022551,3887.88420557062,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-20,2022-02-24,1,28324,28324,FALSE,1,4,0.0023301793531987,30220.17225,28825,4266.54258803235,676.0656,28328,28335,28353,28407,28489,28625,28825,29131.8,29695.6,30734,33139.2,36595.35,40897.2,0.999592076398415,3954.78813281257,3939.49999897895,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-21,2022-02-24,1,32516,32516,FALSE,1,3,0.0306925821134211,40007.51325,34406,18922.3837975946,2551.5546,32534,32559.95,32625.9,32837,33162.7,33659.6,34406,35542.2,37728.3,41848.8,51354.6,63647.35,81972.3500000001,0.999909564574413,4013.34448219087,3850.63154384115,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-22,2022-02-24,1,26701,26701,FALSE,1,2,0.434103591625782,48646.2625,32941.5,51302.1791759584,8310.7143,26781.975,26866.95,27128.5,27784.2,28897,30467.6,32941.5,36567,42733.3,54489.6,80412.8,120351.1,169881.625,0.99944575101014,3751.62397022907,3745.19608666995,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-23,2022-02-24,1,14563,14563,FALSE,1,1,1,57739.26375,29639.5,94870.8683919518,19633.3305,14789.875,15070.85,15731.9,17443.6,20188.7,23830.8,29639.5,38177,51422.2,74650,123809.9,186217.35,251512.475,1.00033882995478,4041.03869369834,3774.09986737767,2022-02-24
"Reference: Fixed, Report: Fixed",2022-02-24,2022-02-24,1,0,0,FALSE,NA,0,NA,46679.9585,20909.5,73131.9606003872,25402.8684,487.925,1103.3,2228.8,5321.2,9174.4,14278,20909.5,30295.4,45631,70207.6,116895,178031.55,255676.65,1.00054831652909,3982.93320991192,3706.1819487533,2022-02-24
"Reference: Fixed, Report: Day of Week",2022-02-15,2022-02-24,1,39903,39903,FALSE,1,9,0.000977370122547177,39903,39903,0,0,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,39903,NA,NA,NA,2022-02-24
"Reference: Fixed, Report: Day of Week",2022-02-16,2022-02-24,1,39204,39204,FALSE,1,8,0.00109682685440261,39215.008,39208,18.9699604862586,5.9304,39204,39204,39204,39204,39205,39206,39208,39211,39215,39221,39234,39249,39267.025,1.02706255729109,157.701762465386,2544.40332212282,2022-02-24
