"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-13,2022-04-22,1,25407,25407,9,1,0.00216475774392884,25407,25407,0,0,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,NA,NA,NA,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-14,2022-04-22,1,21315,21315,8,1,0.00272108843537415,21335.9385,21315,61.4478204256875,0,21315,21315,21315,21315,21315,21315,21315,21317,21322,21333,21369,21431.05,21515.05,1.00053691100174,1751.42361391946,1893.91829128685,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-15,2022-04-22,1,17219,17219,7,1,0.00255531680120797,17306.9865,17232,204.558464504528,19.2738,17219,17219,17219,17219,17221,17224,17232,17245,17274,17333,17478.2,17638.25,17851.25,1.0001301658991,2160.51231139615,2014.82111319963,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-16,2022-04-22,1,16006,16006,6,1,0.00237410970885918,16281.687,16068,646.791974254458,90.4386,16006,16006,16006,16011,16020,16040,16068,16119,16195,16363.4,16742.4,17199.65,17981.075,0.999320696557537,1916.7109086085,1935.85365607361,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-17,2022-04-22,1,16159,16159,5,1,0.00173278049384244,17141.2095,16389,2386.78685272689,326.172,16159,16160,16165,16186,16223,16282,16389,16562.2,16847.3,17401.4,18564.3,20328,22740.3,0.999487073164131,1909.58870006037,1960.7355121771,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-18,2022-04-22,1,20416,20416,4,1,0.0153800940438871,23862.722,21215.5,7335.17614214097,1103.7957,20420,20428,20454,20538,20660,20884.2,21215.5,21802.4,22797.6,24705.4,29317.9,37146.9,45621.875,0.999458788557377,2031.03588271789,1901.7593019098,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-19,2022-04-22,1,20047,20047,3,1,0.0469895744999252,29276.0185,22458.5,18534.8141261115,3320.2827,20067,20086.95,20175.9,20419.8,20822.7,21537.8,22458.5,24266.8,26897.7,32590.6,45930.5,59870.35,82259.525,1.00049873888047,1954.49445274923,1962.74130825654,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-20,2022-04-22,1,15697,15697,2,1,0.305854621902274,41005.357,23232,52766.3757171337,10039.4259,15767.9,15862.7,16142,17034.8,18497.7,20339.2,23232,27265,35225,50327.2,78740.2,118616.35,190533.649999999,0.999742717782782,1724.98970385231,1973.00248440455,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-21,2022-04-22,1,9368,9368,1,1,1,51962.617,24022,81775.6952909571,19346.4474,9563,9760.65,10313.7,11812,14531.4,18555,24022,31688,44325.5,67974.2,122696.4,185599.55,258874.95,1.0004641704341,2089.23427334019,1962.30707137587,2022-04-22
"Reference: Fixed, Report: Fixed",2022-04-22,2022-04-22,1,0,0,0,NA,NA,51264.9685,22131.5,84900.5231929328,28403.6508,370.775,756.9,1730.2,4612.2,8863.6,14076,22131.5,33345.2,50444.7,75496.4,126798.1,191371.5,277775.524999999,0.999861440651167,1807.85392257519,1736.14093489942,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-13,2022-04-22,1,25407,25407,9,1,0.00216475774392884,25407,25407,0,0,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,25407,NA,NA,NA,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-14,2022-04-22,1,21315,21315,8,1,0.00272108843537415,21330.611,21318,39.0691294686575,4.4478,21315,21315,21315,21315,21315,21316,21318,21321,21326,21336,21355,21381,21425,0.999402458533738,1471.35923115529,1495.62670351552,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-15,2022-04-22,1,17219,17219,7,1,0.00255531680120797,17235.0205,17223,30.9225189924822,5.9304,17219,17219,17219,17219,17220,17221,17223,17226,17232,17242,17265,17291.05,17320,1.0015585361514,1995.957696755,1815.79764856131,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-16,2022-04-22,1,16006,16006,6,1,0.00237410970885918,16028.6645,16012,41.5126798827241,8.8956,16006,16006,16006,16006,16007,16009,16012,16017,16026,16042,16071,16105,16145,1.00037288679945,1986.86231111259,1920.15504703538,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-17,2022-04-22,1,16159,16159,5,1,0.00173278049384244,16241.7355,16197.5,144.677051616288,48.1845,16159,16159,16161,16166,16173,16183,16197.5,16213,16237.3,16278,16362,16471.15,16578.025,0.999196027903681,2000.53869345659,1893.26604835603,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-18,2022-04-22,1,20416,20416,4,1,0.0153800940438871,20980.522,20649.5,975.959685729941,283.9179,20422,20429,20442,20478,20515,20572,20649.5,20762,20954,21182.8,21780.6,22637,23743.15,1.00155447278903,1479.71297317889,1668.94331436284,2022-04-22
"Reference: Fixed, Report: Day of Week",2022-04-19,2022-04-22,1,20047,20047,3,1,0.0469895744999252,23235.86,21333,5335.07000510581,1578.2277,20094,20126.95,20201.9,20374,20584.7,20878.2,21333,22030.8,23070.7,24685.8,28139.4,32638.65,37091.625,1.00006582051758,1738.58593289925,1684.18665148659,2022-04-22
