"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-09,2022-04-18,1,22757,22757,9,1,0,22757,22757,0,0,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,NA,NA,NA,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-10,2022-04-18,1,25342,25342,8,1,0,25348.3765,25342,23.0836126794999,0,25342,25342,25342,25342,25342,25342,25342,25342,25343,25346,25357,25377,25405,0.999323797135942,1994.15102643185,1878.63848211585,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-11,2022-04-18,1,29841,29841,7,1,0,29868.7925,29844,80.3164853106529,4.4478,29841,29841,29841,29841,29841,29842,29844,29848,29856,29872,29912,29968.1,30023,1.00053878496256,2082.5659500133,1925.40953564045,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-12,2022-04-18,1,25506,25506,6,1,0,25599.86,25525,237.96950675049,28.1694,25506,25506,25506,25507,25509,25515,25525,25540,25563,25616,25740.2,25916.05,26185.225,0.999742251992221,1978.30650737591,1870.29448681672,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-13,2022-04-18,1,17370,17370,5,1,0,17686.7905,17425,878.307643008777,78.5778,17370,17370,17371,17376,17385,17400,17425,17469,17551,17709.4,18147.5,18790.85,19644.05,1.00139316129848,1880.04394523534,1634.83141383257,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-14,2022-04-18,1,0,0,4,NA,NA,951.7705,179,2328.01074199351,255.0072,0,2,5,24,52,99,179,324.4,593.6,1031,2212.3,4545.05,7748.02499999998,0.999727464435297,1916.87827214987,1846.34333159399,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-15,2022-04-18,1,0,0,3,NA,NA,2757.8275,478.5,7472.8860310164,675.3243,3,6,18,65,142.7,265,478.5,855,1636.3,2987.4,6617.1,13198.05,20007.825,1.00360398281026,1230.35123898396,1728.66771792214,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-16,2022-04-18,1,0,0,2,NA,NA,7618.4005,1351.5,20715.4460426628,1896.9867,10,22,56,173.8,373.4,747.8,1351.5,2392,4245.90000000001,7927,18083,32376.6,60553.05,1.00246071464437,1396.95892566355,1572.59124214356,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-17,2022-04-18,1,0,0,1,NA,NA,13655.0065,3290,30754.8983467775,4598.2839,14.975,44,131.9,406.6,957.4,1832.2,3290,5531.2,9621.4,17702,36245.5,59966.35,90470.4999999999,1.00016171331376,1731.87864384647,1489.72751554035,2022-04-18
"Reference: Fixed, Report: Fixed",2022-04-18,2022-04-18,1,0,0,0,NA,NA,17349.731,4319.5,38771.8481661856,5952.639,39.975,83,237.7,697.8,1469.6,2571,4319.5,7376.79999999999,12113.4,21623,43046,83194.95,116117.975,1.00130937348313,1513.20859982216,1295.54318566229,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-09,2022-04-18,1,22757,22757,9,1,0,22757,22757,0,0,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,NA,NA,NA,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-10,2022-04-18,1,25342,25342,8,1,0,25350.455,25344,16.782902249133,2.9652,25342,25342,25342,25342,25342,25343,25344,25346,25349,25354,25366,25380,25399.025,1.01064220590564,1978.07651225393,1974.71307125728,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-11,2022-04-18,1,29841,29841,7,1,0,29871.028,29854,44.9549962945825,17.7912,29841,29841,29841,29843,29846,29849,29854,29861,29873,29888,29919.1,29959,29997.025,1.00128636342732,1675.81742706289,1729.0628780918,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-12,2022-04-18,1,25506,25506,6,1,0,25599.2925,25552,166.809663016229,53.3736,25507,25508,25511,25519,25529,25540,25552,25571,25599,25638,25722,25825.05,25937.1,1.01042671126983,1584.38382845611,1612.9796582384,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-13,2022-04-18,1,17370,17370,5,1,0,17684.5965,17514.5,619.484484229307,153.4491,17377,17382,17395,17418,17443,17474,17514.5,17562.4,17645.3,17780.4,18056.3,18458.05,18989.95,1.0279271644058,339.157384336847,165.44290166079,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-14,2022-04-18,1,0,0,4,NA,NA,962.5095,523.5,1401.18290836032,561.9054,27.975,44.95,83,164,256,361.6,523.5,693.4,965.3,1373.6,2330.5,3295.7,4391.32499999999,1.00612527139367,1706.12014513492,1256.78868724307,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-15,2022-04-18,1,0,0,3,NA,NA,1277.915,641.5,2042.84384701,721.2849,27,48.95,87.9,178,293,432,641.5,909,1257.6,1795.4,3096.1,4369.45,6861.09999999999,1.00470665608227,1351.00629109626,1842.28193824049,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-16,2022-04-18,1,0,0,2,NA,NA,1763.5855,713,3847.11186015198,865.0971,21,38,84,176,301.7,488.8,713,1055.2,1591.3,2357.2,4072.6,6278.5,9364.525,1.01388148899755,1395.51173273041,759.414972139133,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-17,2022-04-18,1,0,0,1,NA,NA,5661.0515,2197,11000.854952534,2736.8796,76.9,143,256,552.6,959.7,1526.6,2197,3430.4,5045.5,7871.8,13267.9,22675.05,30023.2,1.00707218953698,1530.9257502595,436.13775932424,2022-04-18
"Reference: Fixed, Report: Day of Week",2022-04-18,2022-04-18,1,0,0,0,NA,NA,15659.453,7884,23263.4078433499,9143.9355,213.9,429.9,949.4,2094.8,3466,5197.8,7884,10939.8,15656.6,23130.6,38917.9,58989.5,74340.9249999998,1.02780706672794,93.957626182009,749.785577678413,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-09,2022-04-18,1,22757,22757,9,1,0,22757,22757,0,0,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,22757,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-10,2022-04-18,1,25342,25342,8,1,0,25342.0590610803,25342,0.280772611553603,0,25342,25342,25342,25342,25342,25342,25342,25342,25342,25342,25342,25342,25343,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-11,2022-04-18,1,29841,29841,7,1,0,29842.1756688541,29841,2.79057461578196,0,29841,29841,29841,29841,29841,29841,29841,29841,29842,29843,29845,29846,29849,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-12,2022-04-18,1,25506,25506,6,1,0,25515.3987884907,25509,19.3305765679841,4.4478,25506,25506,25506,25506,25507,25508,25509,25511,25514,25519,25531,25546,25563.5,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-13,2022-04-18,1,17370,17370,5,1,0,17467.8319030793,17394,248.539000682926,31.1346,17370,17370,17372,17375,17379,17385,17394,17410,17434,17483,17629,17762,18014,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-14,2022-04-18,1,0,0,4,NA,NA,398.566885411408,111,906.389807436118,146.7774,1,3,7,20,40,65,111,175,281,500,970,1627,2868.5,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-15,2022-04-18,1,0,0,3,NA,NA,804.404846037355,211,1834.13714931069,284.6592,2,5,13,37,77.0000000000001,131,211,346,582.000000000001,989,1968,3344,5491,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-16,2022-04-18,1,0,0,2,NA,NA,8018.6961130742,544,23409.9759332314,785.778,1,4,13,43,111,249,544,1045,2284,6115,21359,45219,78554.5,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-17,2022-04-18,1,0,0,1,NA,NA,16088.8632004038,6069,29782.8462649794,8000.1096,76,148,403,1009,2051,3674,6069,9118,14245,23976,42344,66294,86208.5,NA,NA,NA,2022-04-18
"Reference: Week, Report: Day of Week",2022-04-18,2022-04-18,1,0,0,0,NA,NA,20185.7481070167,9267,30951.2883909417,11000.892,243.5,582,1105,2419,4130,6552,9267,13710,19772,29031,50200,75973,104129.5,NA,NA,NA,2022-04-18
