"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-06-07,2022-06-16,1,9424,9424,9,1,0.000530560271646859,9424,9424,0,0,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,NA,NA,NA,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-08,2022-06-16,1,9911,9911,8,1,0.00060538795277974,9916.322,9911,16.0609555489882,0,9911,9911,9911,9911,9911,9911,9911,9912,9913,9916,9925,9939,9956,1.00202876612897,1785.07796646017,1891.57683941496,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-09,2022-06-16,1,9500,9500,7,1,0.000947368421052632,9519.8875,9504,43.2575941711596,5.9304,9500,9500,9500,9500,9500,9502,9504,9508,9515,9529,9556,9598,9632.025,0.999796528095762,1842.49810008365,1962.75831717227,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-10,2022-06-16,1,9112,9112,6,1,0.00263388937664618,9181.5745,9132,136.97098588839,28.1694,9112,9112,9112,9114,9118,9123,9132,9144,9166,9205,9303,9424.3,9583.025,0.999951027881463,1924.87137349758,1759.39539660092,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-11,2022-06-16,1,8401,8401,5,1,0.003213903106773,8650.4875,8471,598.182469633839,97.8516,8401,8402,8404,8411,8422,8440,8471,8516,8591,8724.4,9051.4,9411.35,9923.575,1.00011249341811,1878.0706355394,1885.19374428752,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-12,2022-06-16,1,10646,10646,4,1,0.00882960736426827,11452.1095,10866,1770.63900068453,295.7787,10648,10651,10659,10683,10721,10776.6,10866,11002.4,11214.3,11617.2,12629,14442.75,16173.05,0.999705996243011,1781.49478099234,1724.00797811782,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-13,2022-06-16,1,12602,12602,3,1,0.032455165846691,15082.8405,13329,5589.62276924042,982.9638,12609,12620,12646.9,12730.8,12860,13079,13329,13768.4,14407,15768.4,18498.2,23553.95,28922.2,0.999455171542186,1971.41107086639,1886.35440907124,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-14,2022-06-16,1,11744,11744,2,1,0.271713215258856,18328.8935,13756,13820.3480999199,2682.0234,11775,11807,11878,12107,12442.7,12988.8,13756,15034.8,16970.9,20337,27931.3,40087.85,54919.9,1.0000420078894,2016.73849034412,1966.08210501989,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-15,2022-06-16,1,8223,8223,1,1,1,19165.6095,12321,18865.4030390798,5284.7277,8308.975,8399.9,8583.8,9134,9868.9,10901.4,12321,14906.4,18866.1,24559.8,36565.3,50171,64489.4,1.0003955177203,1973.4892115414,1313.7707648772,2022-06-16
"Reference: Fixed, Report: Fixed",2022-06-16,2022-06-16,1,0,0,0,NA,NA,12228.628,5793,18655.0339816105,6980.0808,163.9,325.85,663.8,1424,2603.1,3864,5793,8467.2,11837.7,17946.4,31535.5,46282.7,63937.4499999999,0.999718593797494,1872.44419422481,1847.9282187015,2022-06-16
"Reference: Fixed, Report: Day of Week",2022-06-07,2022-06-16,1,9424,9424,9,1,0.000530560271646859,9424,9424,0,0,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,NA,NA,NA,2022-06-16
"Reference: Fixed, Report: Day of Week",2022-06-08,2022-06-16,1,9911,9911,8,1,0.00060538795277974,9913.8685,9912,4.81381284919486,1.4826,9911,9911,9911,9911,9911,9911,9912,9913,9914,9916,9919,9923,9927,0.99962095844645,1923.34628196419,1931.70275790254,2022-06-16
"Reference: Fixed, Report: Day of Week",2022-06-09,2022-06-16,1,9500,9500,7,1,0.000947368421052632,9506.4015,9504,8.54246946979158,4.4478,9500,9500,9500,9501,9501,9502,9504,9505,9507,9510,9516,9522,9529.025,1.00002807689819,1900.08824260293,1807.92863627855,2022-06-16
