"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-06-08,2022-06-17,1,9914,9914,9,1,0.00030260238047206,9914,9914,0,0,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,NA,NA,NA,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-09,2022-06-17,1,9505,9505,8,1,0.000526038926880589,9509.967,9505,13.9923837998463,0,9505,9505,9505,9505,9505,9505,9505,9506,9507,9510,9519,9531,9544,0.999554345703071,2010.82156406373,1781.45725936754,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-10,2022-06-17,1,9115,9115,7,1,0.000329127811300055,9136.09,9120,46.0405665352137,7.413,9115,9115,9115,9115,9116,9117,9120,9124,9131,9143,9173,9214.05,9262,1.00041990993041,1989.4705644525,2006.32027553916,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-11,2022-06-17,1,8409,8409,6,1,0.000951361636342015,8481.5765,8429,159.19311659722,28.1694,8409,8409,8409,8411,8414,8420,8429,8443,8463,8502,8597,8709.15,8913.1,0.999200617571377,2137.81088752356,1671.67952188937,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-12,2022-06-17,1,10658,10658,5,1,0.0011259148057797,10891.606,10727.5,464.418792870816,95.6277,10658,10659,10661,10669,10681,10701,10727.5,10770.4,10841.3,10972,11282.3,11727.1,12150.025,1.00021989186987,1885.28125070099,1928.0563720501,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-13,2022-06-17,1,12813,12813,4,1,0.0164676500429252,13643.6005,13074.5,1731.40390366851,346.1871,12816,12821,12831,12862,12907,12978,13074.5,13222.8,13482.3,13842,14796.3,16333.85,18774.675,0.999916131193918,1875.03499940466,1968.24898322216,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-14,2022-06-17,1,12318,12318,3,1,0.0465984737782107,14691.8515,13060.5,4526.86798231541,979.2573,12332.975,12345,12372,12465,12587.4,12798.8,13060.5,13507.6,14300.2,15575.8,18897.5,21911.8,26272.225,1.00029489499119,1909.51440852844,1945.01450960253,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-15,2022-06-17,1,11596,11596,2,1,0.29087616419455,17868.8385,13775.5,12959.7687377625,2854.7463,11626,11656.95,11743.9,11969.6,12360.5,12947,13775.5,14916.2,16805.4,19889.6,27252.3,36870.95,49564.5249999999,1.00113847841561,2180.81835430709,1881.04832183003,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-16,2022-06-17,1,7843,7843,1,1,1,19891.24,12896.5,21893.4167063512,6417.4341,7930.925,8019.95,8280,8941,9841.1,11136,12896.5,15459,19404.5,25391.4,38005.9,51448.9,70780.3499999999,1.00061196100659,2141.3669067403,1936.92543209772,2022-06-17
"Reference: Fixed, Report: Fixed",2022-06-17,2022-06-17,1,0,0,0,NA,NA,13530.4955,6132.5,21259.8851985213,7293.6507,232.85,388.55,704.9,1677.2,2803.1,4264.6,6132.5,8938,12997.2,19774,33991.9,48476.3,66775.875,1.00092052474455,2006.97340310736,1788.74620762833,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-08,2022-06-17,1,9914,9914,9,1,0.00030260238047206,9914,9914,0,0,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,NA,NA,NA,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-09,2022-06-17,1,9505,9505,8,1,0.000526038926880589,9507.2045,9506,4.07271079707586,1.4826,9505,9505,9505,9505,9505,9505,9506,9506,9507,9509,9511,9514,9518,1.00036423031188,1840.57573929687,1939.82524045186,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-10,2022-06-17,1,9115,9115,7,1,0.000329127811300055,9118.635,9116,6.13437774310871,1.4826,9115,9115,9115,9115,9115,9116,9116,9117,9119,9121,9125,9130,9137,0.99941250318411,1849.99019192465,1772.039379787,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-11,2022-06-17,1,8409,8409,6,1,0.000951361636342015,8417.146,8412,13.0863023675455,4.4478,8409,8409,8409,8409,8410,8411,8412,8414,8417,8422,8432,8443,8455,0.999757882450649,1989.66293336273,1771.98037244132,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-12,2022-06-17,1,10658,10658,5,1,0.0011259148057797,10718.8605,10683,97.6860139344891,32.6172,10658,10659,10660,10663,10667,10674,10683,10695,10715,10748.2,10822,10905.15,10989,1.00097592623274,1824.77662877105,1926.02185134507,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-13,2022-06-17,1,12813,12813,4,1,0.0164676500429252,13288.619,13017,730.507479378352,249.0768,12819.975,12825,12840,12863,12896,12948,13017,13119.4,13255.3,13537,14052.1,14630.65,15379.175,1.00167169665951,2244.96432009842,1956.3604852087,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-14,2022-06-17,1,12318,12318,3,1,0.0465984737782107,14688.392,13330.5,3802.19864467952,1263.1752,12344,12365.95,12412.9,12537,12710.7,12967.6,13330.5,13833.4,14683.7,15912.2,18511.1,21381.85,25099.275,1.0019482460776,1674.14563237056,1620.52756506802,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-15,2022-06-17,1,11596,11596,2,1,0.29087616419455,18671.4555,14346,11347.8041005285,3435.9255,11711.975,11783.95,11920.9,12248.8,12738.5,13457.6,14346,15952.2,18480.2,22318.2,29898.7,39517,49113.575,0.999645550717342,1920.07150114357,1866.53832938596,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-16,2022-06-17,1,7843,7843,1,1,1,20049.4655,13197,19462.6092942103,6641.3067,8049.825,8164.85,8426,9061.6,9981,11311.4,13197,16068.6,20017,25632.4,38144.7,56214.25,75122.4,0.999983466136247,1915.49257248641,1965.22229514213,2022-06-17
"Reference: Fixed, Report: Day of Week",2022-06-17,2022-06-17,1,0,0,0,NA,NA,14381.0875,5879.5,27454.3541973407,7119.4452,223.8,385.85,708.9,1531.2,2483.1,3939.6,5879.5,8777,13315.9,21121.2,34571.8,54153.45,76364.3749999999,1.00019433509195,1824.04690611326,1690.00603194867,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-08,2022-06-17,1,9914,9914,9,1,0.00030260238047206,9914,9914,0,0,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,NA,NA,NA,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-09,2022-06-17,1,9505,9505,8,1,0.000526038926880589,9508.247,9506,5.67521762115989,1.4826,9505,9505,9505,9505,9505,9506,9506,9507,9508,9510,9514,9518,9523,1.00056489895281,1909.19615482433,1920.92450523275,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-10,2022-06-17,1,9115,9115,7,1,0.000329127811300055,9120.2705,9117,9.23850662999038,2.9652,9115,9115,9115,9115,9115,9116,9117,9118,9120,9123,9129,9137,9146,1.00075834656623,2031.56557343918,1730.87860644474,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-11,2022-06-17,1,8409,8409,6,1,0.000951361636342015,8410.9335,8409,5.10843672887376,0,8409,8409,8409,8409,8409,8409,8409,8410,8410,8411,8414,8418,8423,1.02197507541171,98.0779646009094,611.758226258729,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-12,2022-06-17,1,10658,10658,5,1,0.0011259148057797,10677.3375,10664,37.3265753902656,8.8956,10658,10658,10658,10659,10660,10661,10664,10668,10674,10684,10709,10748,10779.025,1.01549001480427,281.956315614588,1056.0784195311,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-13,2022-06-17,1,12813,12813,4,1,0.0164676500429252,13071.0055,12908,458.40200661601,123.0558,12814,12816,12820,12831,12847,12868,12908,12958.4,13039,13181,13480.3,13867.1,14318.275,1.00830071181012,1608.00619187406,1755.68957165803,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-14,2022-06-17,1,12318,12318,3,1,0.0465984737782107,14248.97,13023.5,3772.70911827901,908.8338,12334,12347.95,12376,12464.8,12581,12756.6,13023.5,13349.8,13958,14857.2,17456.3,20401.2,24305.5,1.00020685990069,1971.04334653375,1726.24625883068,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-15,2022-06-17,1,11596,11596,2,1,0.29087616419455,20047.464,14805,15330.6049964599,4135.7127,11686,11740.95,11893.7,12257.8,12872.4,13671.6,14805,16572.8,19358.7,23057.2,32279.4,45812.4,63433.7749999999,0.99988852679771,1985.68955759117,1779.68664404887,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-16,2022-06-17,1,7843,7843,1,1,1,25418.1055,14516,30996.1929768302,8556.0846,7994.95,8124,8438.9,9151.4,10241.7,12000.8,14516,18303.4,23490.5,31008.8,55391.6,81013.55,115177.625,1.00079682958905,1744.90633280287,1584.83099395945,2022-06-17
"Reference: Week, Report: Day of Week",2022-06-17,2022-06-17,1,0,0,0,NA,NA,19533.8455,7221,38231.5461557908,9135.0399,240.975,396.4,751.7,1515,2726.1,4620.6,7221,11073.2,17220,27133,47141.6,75758.15,104448.55,1.00072116827565,2070.56578533819,1839.91364954814,2022-06-17
