"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-17,2022-05-26,1,6798,6798,9,1,0.000441306266548985,6798,6798,0,0,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,NA,NA,NA,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-18,2022-05-26,1,6361,6361,8,1,0.000628831944662789,6363.9845,6361,7.69719969804576,0,6361,6361,6361,6361,6361,6361,6361,6362,6362,6365,6370,6376,6385,0.999789786271722,1921.84479485788,1891.04952946771,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-19,2022-05-26,1,5746,5746,7,1,0.00261051166028542,5759.45,5749,28.8432048363669,4.4478,5746,5746,5746,5746,5746,5747,5749,5751,5755,5764,5784.1,5809,5842,1.00065081780242,2016.02791298554,1929.38513928257,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-20,2022-05-26,1,4994,4994,6,1,0.00160192230676812,5038.864,5007,83.6614255261081,19.2738,4994,4994,4994,4995,4998,5001,5007,5017,5031,5058,5114,5197.05,5274.1,1.00074419958502,1937.84477898161,1696.24629037607,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-21,2022-05-26,1,4188,4188,5,1,0.00334288443170965,4343.704,4233.5,312.643983652744,61.5279,4188,4189,4190,4196,4204,4216,4233.5,4262,4303,4386.2,4597.1,4885.3,5197.05,0.999610692402141,1948.49746640575,1888.24513491477,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-22,2022-05-26,1,5100,5100,4,1,0.00941176470588235,5650.027,5262.5,1104.33176201325,218.6835,5102,5104,5111,5128,5157,5201,5262.5,5363,5528.3,5831,6542.8,7595.25,8553.675,0.99954929483583,1900.35081957815,1966.1896613193,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-23,2022-05-26,1,6092,6092,3,1,0.0451411687458963,7749.932,6634,3333.71895672344,708.6828,6101.975,6108.95,6135.9,6196.8,6280.7,6416,6634,6949.2,7473.2,8340,10367.6,13079.65,15996.575,1.00173464703623,1889.35270529025,1925.15457979581,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-24,2022-05-26,1,5138,5138,2,1,0.277345270533281,9667.0165,6649,9460.21241525256,1990.3905,5162.975,5189.9,5254.9,5433.8,5708,6081.4,6649,7561.2,8908,11261,16443.6,23636.55,32202.575,0.999851291175066,2035.59146314656,2003.10782130601,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-25,2022-05-26,1,3400,3400,1,1,1,11157.2795,6587.5,13206.0380552586,3987.4527,3473.975,3535.95,3702,4044,4636.8,5416.2,6587.5,8146.4,10672.8,14708,23377.6,33544.8,45907.7249999999,0.999966741488462,2180.16862856359,1988.27591733669,2022-05-26
"Reference: Fixed, Report: Fixed",2022-05-26,2022-05-26,1,0,0,0,NA,NA,8780.66,4568,12073.0903405709,5365.5294,150.825,287.85,555.2,1140,1887.4,3031.8,4568,6285.4,9250.9,13524.2,22727.8,32190.55,42353.175,1.00112147793986,1974.1189145314,1757.58596113639,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-17,2022-05-26,1,6798,6798,9,1,0.000441306266548985,6798,6798,0,0,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,NA,NA,NA,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-18,2022-05-26,1,6361,6361,8,1,0.000628831944662789,6363.4405,6362,4.02921543709433,1.4826,6361,6361,6361,6361,6361,6361,6362,6363,6363,6365,6368,6371.05,6375,0.99984299096387,1985.77661202134,1983.28551609102,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-19,2022-05-26,1,5746,5746,7,1,0.00261051166028542,5752.392,5749,9.93759094836009,4.4478,5746,5746,5746,5747,5747,5748,5749,5751,5753,5756,5762,5769,5777.025,1.00004357429239,2025.31619443961,1895.09087115322,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-20,2022-05-26,1,4994,4994,6,1,0.00160192230676812,5002.8375,4998,13.4356746174583,5.9304,4994,4994,4994,4995,4996,4997,4998,5000,5003,5007,5017,5027,5038,1.00064847908208,1890.45296387627,2032.66179655547,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-21,2022-05-26,1,4188,4188,5,1,0.00334288443170965,4207.426,4198,25.8416992612784,11.8608,4188,4188,4189,4191,4193,4195,4198,4203,4209,4219,4237,4256.05,4279,0.999495342264475,1901.16635175249,1740.64982204968,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-22,2022-05-26,1,5100,5100,4,1,0.00941176470588235,5197.704,5146,145.810568015053,53.3736,5101,5103,5107,5114,5123,5133,5146,5168,5198.3,5246,5344,5445.35,5593.025,1.0011141746578,1833.6929968108,1738.84967094672,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-23,2022-05-26,1,6092,6092,3,1,0.0451411687458963,6686.615,6364,1088.0128734447,299.4852,6104,6116.95,6136,6180,6230,6286,6364,6486,6645.3,6937.4,7519.5,8156.25,9067.925,1.00003431573293,2193.61826068522,1963.67193813262,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-24,2022-05-26,1,5138,5138,2,1,0.277345270533281,7877.4405,6572,3779.37993536078,1591.5711,5214.9,5273.9,5383.9,5568,5833.7,6132,6572,7099.6,7921.9,9255.2,11902.7,14580.15,18900.175,1.00149747327385,1776.51377762316,1596.99843452202,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-25,2022-05-26,1,3400,3400,1,1,1,9988.642,7382.5,7856.98190459674,4090.4934,3660,3807.8,4123,4760.6,5473.7,6296.2,7382.5,8820.8,10580,13407.4,19171.2,23959.35,31866.2499999999,0.999253616711863,2045.41655565802,1831.57121791861,2022-05-26
"Reference: Fixed, Report: Day of Week",2022-05-26,2022-05-26,1,0,0,0,NA,NA,7476.713,4658.5,9097.70969191973,4677.603,377.975,542.65,940.7,1631.8,2448.4,3515,4658.5,6064.6,8174.3,11198,17011.5,24092.7,31121.975,0.99972579778456,2214.25216337628,1677.23837225333,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-17,2022-05-26,1,6798,6798,9,1,0.000441306266548985,6798,6798,0,0,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,NA,NA,NA,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-18,2022-05-26,1,6361,6361,8,1,0.000628831944662789,6363.859,6362,5.2720030356596,1.4826,6361,6361,6361,6361,6361,6361,6362,6363,6364,6365,6369,6373,6376,0.999878791253372,1807.09363873359,1905.35245714452,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-19,2022-05-26,1,5746,5746,7,1,0.00261051166028542,5753.519,5750,11.3434993052516,4.4478,5746,5746,5746,5747,5747,5748,5750,5751,5754,5757,5765,5775,5786,1.00067449628308,1220.63249346561,1839.0335872939,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-20,2022-05-26,1,4994,4994,6,1,0.00160192230676812,5005.5875,5000,17.5208399817712,7.413,4994,4994,4994,4995,4996,4998,5000,5002,5005,5011,5025,5036,5053,1.00624413106907,1283.13868345215,1952.02136116608,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-21,2022-05-26,1,4188,4188,5,1,0.00334288443170965,4190.861,4188,8.48019078900404,0,4188,4188,4188,4188,4188,4188,4188,4189,4189,4191,4195,4202,4210,1.01917658747545,158.683455442717,302.71114118987,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-22,2022-05-26,1,5100,5100,4,1,0.00941176470588235,5120.977,5106,52.3708489897954,8.8956,5100,5100,5100,5101,5102,5104,5106,5110,5115,5124,5152,5188,5239.025,1.01097865243116,275.659963752403,864.620904479839,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-23,2022-05-26,1,6092,6092,3,1,0.0451411687458963,6336.407,6185.5,420.405973961445,119.3493,6094,6095,6099.9,6111,6126,6150,6185.5,6233.4,6310.3,6440.6,6743,7079.85,7540.05,1.00157614351411,709.658699472502,1821.29912939358,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-24,2022-05-26,1,5138,5138,2,1,0.277345270533281,7269.8275,6072.5,3562.09236021964,1140.1194,5170,5194.95,5238.9,5370,5540,5764.4,6072.5,6515.2,7216.5,8218.4,10422.7,13187.85,16796.8,1.00118949444464,2010.51672859854,1625.70202259873,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-25,2022-05-26,1,3400,3400,1,1,1,10377.2605,7310.5,8928.63000412241,4212.0666,3571.975,3750.85,4023.9,4582.8,5309.7,6201.6,7310.5,8680.4,10685.7,14067.8,21085.9,27564.2,34462.875,1.00010767552282,1867.00369665056,1965.22229514213,2022-05-26
"Reference: Week, Report: Day of Week",2022-05-26,2022-05-26,1,0,0,0,NA,NA,7723.314,4342,9972.92087734666,4367.7396,299.675,552.1,885.9,1678.8,2397.7,3267,4342,5871,8063.3,11128,18356.3,26072.05,35060.4,0.999417151894136,1931.51610493692,1768.98049093447,2022-05-26
