"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-17,2022-02-26,1,33987,33987,FALSE,1,9,0,33987,33987,0,0,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,33987,NA,NA,NA,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-18,2022-02-26,1,24848,24848,FALSE,1,8,0,24854.17225,24848,18.4563062053919,0,24848,24848,24848,24848,24848,24848,24848,24849,24850,24854,24864,24880.05,24903,0.999907990952496,4049.31773059747,3929.55592101474,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-19,2022-02-26,1,26324,26324,FALSE,1,7,0,26349.335,26328,62.2163161276696,5.9304,26324,26324,26324,26324,26325,26326,26328,26333,26340,26355.2,26392,26445.05,26501.05,0.999361011372433,3941.71645871955,3762.53168496612,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-20,2022-02-26,1,28334,28334,FALSE,1,6,0,28430.45725,28358,221.479192997153,34.0998,28334,28334,28334,28336,28340,28347,28358,28374,28402,28452,28588.3,28787,28975.025,0.99990492892472,4019.95508206575,3639.95424678944,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-21,2022-02-26,1,32843,32843,FALSE,1,5,0,33190.847,32944,719.703098665385,139.3644,32843,32844,32847,32857,32873,32900,32944,33011,33115,33322,33755,34363,34957.45,0.999719393898472,3948.41447792569,3730.15682995105,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-22,2022-02-26,1,27505,27505,FALSE,1,4,0,28754.80475,27843,3060.62222958592,458.1234,27507,27512,27524,27561,27621,27710,27843,28058,28390,29051,30560.2,32749.75,35968.45,1.00318054932779,3825.9417472828,3790.66203148639,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-23,2022-02-26,1,24560,24560,FALSE,1,3,0,28889.25425,25626.5,10041.8614591368,1438.8633,24572,24586.95,24626,24753,24938.7,25217.6,25626.5,26311.8,27581.2,29999.6,35351.2,43033.85,52614.9,1.00142124937855,3662.23195868296,4058.86369188262,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-24,2022-02-26,1,11855,11855,FALSE,1,2,0,24276.98875,15459,30407.3400277468,4859.2215,11906,11954.95,12079.9,12444,13042.4,13927,15459,17494.6,21268.8,27820,42880.1,65344.2999999999,91687.075,1.00073634268489,3764.88777934906,3687.97268498455,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-25,2022-02-26,1,0,0,FALSE,NA,1,NA,27352.597,9000.5,61330.1507701307,11816.322,142,319,692,1755,3234.6,5536.6,9000.5,14318,22832.5,37342.2,70793.1,115916.2,158286.925,1.00038135248324,3045.62615310626,3746.4135911387,2022-02-26
"Reference: Fixed, Report: Fixed",2022-02-26,2022-02-26,1,0,0,FALSE,NA,0,NA,30717.30875,12346,54373.8838798275,15049.1313,346.925,638,1287,3061.2,5235.5,8126.4,12346,18397.2,27097.1,43491.6,76684.4,120542.45,175309.625,1.00107481829101,4117.58185861092,3928.38197460755,2022-02-26
