"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-06,2022-04-15,1,36633,36633,9,1,0,36633,36633,0,0,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,NA,NA,NA,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-07,2022-04-15,1,31490,31490,8,1,0,31505.7425,31490,44.121474884947,0,31490,31490,31490,31490,31490,31490,31490,31492,31496,31506,31536,31573,31613.025,0.99990519867093,2102.08674036918,1905.61262071604,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-08,2022-04-15,1,26992,26992,7,1,0,27050.2835,27004,122.898690683977,17.7912,26992,26992,26992,26992,26994,26997,27004,27014,27035,27074,27160.1,27265.15,27400,0.999445363310028,1990.56009798494,1884.9355006428,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-09,2022-04-15,1,22757,22757,6,1,0,22969.2585,22805,480.266402725137,69.6822,22757,22757,22758,22761,22769,22782,22805,22842,22905,23033,23330,23745.65,24281.5,1.00040781523821,2005.25004334229,2141.89044594732,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-10,2022-04-15,1,25342,25342,5,1,0,26069.025,25518.5,1610.30627910695,243.8877,25342,25344,25349.9,25366,25392.7,25441,25518.5,25627.8,25851,26252.2,27235.7,28652.7,30599.625,0.99983620076941,1760.08304048603,1885.46477281877,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-11,2022-04-15,1,29841,29841,4,1,0,32420.52,30482.5,6568.94505108256,879.9231,29845.975,29853,29873,29947.8,30062.7,30238.2,30482.5,30931.4,31623.5,32737,36100.8,41166.35,46977.625,0.999413377674855,1854.7115953474,1762.32949185579,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-12,2022-04-15,1,25506,25506,3,1,0,33137.9165,27678,15735.2490812619,2882.9157,25529.975,25566,25646.9,25892.6,26231.2,26819.4,27678,28968.8,30939.3,35134.6,45609.9,58262.1,76606.775,1.00038080703651,1963.14195661307,1895.69005199702,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-13,2022-04-15,1,17370,17370,2,1,0,36681.812,23191.5,38923.5367860196,7649.4747,17470.95,17554,17799,18441.8,19372.4,20936.6,23191.5,26856,31714.7,43566.6,67224.2000000001,104095.9,139634.325,1.00206449007648,1791.91627893458,2028.09643800276,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-14,2022-04-15,1,0,0,1,NA,NA,36357.3515,12498,67393.8156061588,16490.9598,167.9,425.9,975.3,2504,4593,7607.6,12498,20642.8,31960.2,50642.8,95596.8,151135.95,206129.95,1.00031154704036,1883.31909903413,1924.18668878587,2022-04-15
"Reference: Fixed, Report: Fixed",2022-04-15,2022-04-15,1,0,0,0,NA,NA,43156.649,19349.5,70172.6723341006,23268.6657,486.15,927.45,1797.9,4497.8,8870.6,13260.2,19349.5,26992.8,39522.6,60482.2,110935.2,164466.9,230970.075,1.00138483373298,1814.69136851612,1854.27491016042,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-06,2022-04-15,1,36633,36633,9,1,0,36633,36633,0,0,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,36633,NA,NA,NA,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-07,2022-04-15,1,31490,31490,8,1,0,31557.381,31516,100.883376067534,37.065,31490,31490,31491,31493,31498,31505,31516,31534,31556.3,31596,31684,31770.1,31852.025,0.999443053500087,1897.26262347602,2076.73218197716,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-08,2022-04-15,1,26992,26992,7,1,0,27019.915,27004,40.5947378532081,17.7912,26992,26992,26992,26993,26996,27000,27004,27012,27022,27038.2,27069,27101.05,27128,1.00151594887375,1962.04549321269,1971.82921075492,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-09,2022-04-15,1,22757,22757,6,1,0,22772.629,22764,23.4847637003874,10.3782,22757,22757,22757,22758,22759,22761,22764,22768,22773.3,22782,22801,22819,22841,0.999523814279167,1854.89888588712,1713.33872743864,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-10,2022-04-15,1,25342,25342,5,1,0,25386.7455,25370,52.0086067621376,31.1346,25342,25343,25345,25349,25355,25362,25370,25381,25392.3,25413,25450,25489,25523,0.999995848858719,2003.51427498068,1961.09872638631,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-11,2022-04-15,1,29841,29841,4,1,0,30061.0705,29966.5,267.503524458181,126.7623,29849,29855,29864.9,29886,29906,29931.6,29966.5,30012,30068,30172,30390.2,30616.35,30834.05,1.00230953265264,1908.91599103232,1705.16402203179,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-12,2022-04-15,1,25506,25506,3,1,0,26383.0585,25967,1115.49175568726,487.7754,25544,25563.95,25597,25666,25746,25840,25967,26177.4,26428,26822,27730.9,28578.6,29453.6,1.00062136670811,2036.26510432273,1859.03649608039,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-13,2022-04-15,1,17370,17370,2,1,0,20473.9285,18918.5,4435.88525408192,1735.3833,17468.975,17512,17605.6,17802,18066.7,18422.6,18918.5,19460.6,20384.6,21913,24975.3,29637.2,33881.475,1.07512192884841,22.6616158970213,263.648583920397,2022-04-15
"Reference: Fixed, Report: Day of Week",2022-04-14,2022-04-15,1,0,0,1,NA,NA,13467.3705,6112.5,19041.1461468716,7226.1924,348.725,527.85,890.9,1682,2741.5,4158.2,6112.5,9241.59999999999,13435.4,20831.2,34956.5,49463.55,68685.5499999999,1.04162966140539,38.7236484828104,1506.90291121188,2022-04-15
