"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-31,2022-06-09,1,5653,5653,9,1,0.00106138333628162,5653,5653,0,0,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,NA,NA,NA,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-01,2022-06-09,1,5644,5644,8,1,0.000885896527285613,5648.23,5644,10.9991631861427,0,5644,5644,5644,5644,5644,5644,5644,5645,5646,5649,5657,5666,5676,1.00038077836318,2018.05806129379,1718.80795725221,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-02,2022-06-09,1,4999,4999,7,1,0.000400080016003201,5016.8945,5003,38.3945496193175,5.9304,4999,4999,4999,4999,4999,5001,5003,5006,5012,5024.2,5048,5080.05,5120.05,1.00009472623843,2082.49784086879,1849.03749564826,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-03,2022-06-09,1,5492,5492,6,1,0.0032774945375091,5550.6515,5507,120.748375280235,22.239,5492,5492,5492,5494,5496,5501,5507,5519,5540,5575,5650,5748.05,5872.075,0.999558843096819,1884.98680238764,1801.95228883073,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-04,2022-06-09,1,6184,6184,5,1,0.00258732212160414,6386.03,6244,453.212337443947,81.543,6184,6185,6187,6193,6202,6219,6244,6278,6347,6453.2,6685,7044.4,7465.1,1.00001257201963,1900.28178851157,1916.75066997524,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-05,2022-06-09,1,8225,8225,4,1,0.00838905775075988,8910.494,8425,1345.71634648859,275.7636,8226,8229,8236,8259.8,8292,8346.6,8425,8574.4,8792.6,9130.4,9999.1,11146.75,12654.35,0.999433706654315,1899.54871220211,2069.31817186166,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-06,2022-06-09,1,9540,9540,3,1,0.0350104821802935,11892.645,10250.5,4858.85969037184,933.2967,9548.975,9564,9591,9673.8,9786,9992,10250.5,10690.8,11356.3,12486.2,15478,20255.55,25020.075,1.00106407323513,1868.36293859365,1949.91171284121,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-07,2022-06-09,1,8773,8773,2,1,0.293286219081272,14974.6895,10793.5,12958.574341322,2642.7345,8805,8842.9,8925.8,9170.2,9524,10052.8,10793.5,11859.2,13975.2,16844.4,24413.6,33437.25,45708.8999999999,0.999606985006844,1825.22975425753,1657.62939594623,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-08,2022-06-09,1,6661,6661,1,1,1,16902.0545,11002,16234.2529201829,5547.8892,6741.875,6810.85,7002.9,7576.6,8315.5,9414.4,11002,13379.8,16789.6,21873.8,32703.8,46445.6,61079.6499999996,1.00039440902027,2072.03203461159,1925.24859908433,2022-06-09
"Reference: Fixed, Report: Fixed",2022-06-09,2022-06-09,1,0,0,0,NA,NA,11730.4245,5691.5,17921.10628618,6748.7952,201.85,365.95,710,1524.6,2410.2,3694.2,5691.5,8332,11925.6,17076.8,28791.7,43176.55,61409.1499999998,0.999550369642164,2001.93807008832,1752.43993177729,2022-06-09
"Reference: Fixed, Report: Day of Week",2022-05-31,2022-06-09,1,5653,5653,9,1,0.00106138333628162,5653,5653,0,0,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,5653,NA,NA,NA,2022-06-09
"Reference: Fixed, Report: Day of Week",2022-06-01,2022-06-09,1,5644,5644,8,1,0.000885896527285613,5646.0195,5645,3.40894854978886,1.4826,5644,5644,5644,5644,5644,5644,5645,5645,5646,5647,5650,5652.05,5655,1.00115533278823,1888.76774613818,1616.5933251707,2022-06-09
"Reference: Fixed, Report: Day of Week",2022-06-02,2022-06-09,1,4999,4999,7,1,0.000400080016003201,5003.1305,5001,5.35236337021539,2.9652,4999,4999,4999,4999,5000,5001,5001,5002,5004,5006,5010,5013,5017,1.00010431704244,1908.4516325485,1850.45733894367,2022-06-09
"Reference: Fixed, Report: Day of Week",2022-06-03,2022-06-09,1,5492,5492,6,1,0.0032774945375091,5497.8025,5495,7.05686852978879,4.4478,5492,5492,5492,5493,5493,5494,5495,5497,5499,5501,5507,5512,5517,1.00163597448311,1880.03047291769,1611.59319550317,2022-06-09
