"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-23,2022-06-01,1,6222,6222,9,1,0.00160720025715204,6222,6222,0,0,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,NA,NA,NA,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-24,2022-06-01,1,5562,5562,8,1,0.00323624595469256,5564.4265,5562,5.87093107316318,0,5562,5562,5562,5562,5562,5562,5562,5562,5563,5565,5569,5576,5582.025,0.99947908139659,1967.48283034503,1911.56997525722,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-25,2022-06-01,1,5139,5139,7,1,0.000972951936174353,5149.6565,5142,21.7384633344694,4.4478,5139,5139,5139,5139,5139,5140,5142,5144,5148,5154,5169,5186.05,5209.025,1.00190981724009,1857.98788240793,2008.13253605378,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-26,2022-06-01,1,4772,4772,6,1,0.00167644593461861,4810.4345,4784,74.7540687531292,16.3086,4772,4772,4772,4773,4776,4779,4784,4791.4,4804,4827,4874,4931.15,5002.025,1.00048993845598,2071.76286731181,1800.87162415868,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-27,2022-06-01,1,4420,4420,5,1,0.00746606334841629,4542.4345,4463,212.285902409771,56.3388,4420,4421,4422,4428,4436,4446,4463,4486,4526,4583.2,4760.1,4964.15,5153.125,1.00191765583652,1860.5170131225,1898.25050428584,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-28,2022-06-01,1,4075,4075,4,1,0.0130061349693252,4484.1035,4218.5,708.244767798045,186.0663,4077,4079.95,4087,4104,4129,4165,4218.5,4300,4442,4679.2,5200,5799.1,6345.3,1.00105244102745,1928.06222144831,1947.20285578837,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-29,2022-06-01,1,4597,4597,3,1,0.0308897106808788,6026.849,5119.5,2898.11925803889,684.2199,4605,4614,4636,4691,4783,4923,5119.5,5390,5849.1,6579.2,8290.9,10296.25,12595.1,1.00055663565541,2025.44234753288,1972.4328906689,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-30,2022-06-01,1,5436,5436,2,1,0.268947755702723,9058.426,6999,5716.26189546567,1939.9821,5463.975,5493,5562,5773.8,6022.7,6411.6,6999,7667.8,8767.8,10801.2,14869.6,20089.4,25465.95,0.999910052227859,2163.59135859263,1806.15115108763,2022-06-01
"Reference: Fixed, Report: Fixed",2022-05-31,2022-06-01,1,3538,3538,1,1,1,10297.5265,6683.5,10857.2371061006,3732.4455,3631.975,3719.95,3867.8,4305.8,4893.3,5616.2,6683.5,8017.2,9892,13493.8,20391.5,28181.25,39557.35,1.00106744090421,1838.1615483348,1818.22631271453,2022-06-01
"Reference: Fixed, Report: Fixed",2022-06-01,2022-06-01,1,0,0,0,NA,NA,7754.47,3948.5,11705.1593323456,4397.3916,176.725,288.9,581.9,1182.8,1878.5,2840.2,3948.5,5410,7646.70000000001,11529.6,18792.1,27754.35,39632.5749999998,1.00007949533252,2025.2708522927,1948.70606286345,2022-06-01
