"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-05,2022-05-14,1,8557,8557,9,1,0,8557,8557,0,0,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,NA,NA,NA,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-06,2022-05-14,1,7468,7468,8,1,0,7472.8665,7468,16.1062218704906,0,7468,7468,7468,7468,7468,7468,7468,7468,7469,7472,7481,7494,7513.025,1.0001501595027,1983.42923369351,1892.25108483476,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-07,2022-05-14,1,6342,6342,7,1,0,6361.069,6344,49.2616544007319,2.9652,6342,6342,6342,6342,6342,6343,6344,6347,6352,6364,6391.1,6441,6503,0.99973759227428,1869.25633713645,2034.29323484407,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-08,2022-05-14,1,7623,7623,6,1,0,7695.4245,7635,230.788236062201,17.7912,7623,7623,7623,7624,7625,7629,7635,7646,7668,7707.2,7805,7955.05,8111.025,0.999771051909113,2072.42386921768,2006.49243740192,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-09,2022-05-14,1,8778,8778,5,1,0,9053.1775,8823,690.60766536977,65.2344,8778,8778,8779,8782,8791,8803,8823,8862.4,8935,9090,9481.2,10055.05,10944.45,0.999875072986805,1847.81312855455,1941.30682046865,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-10,2022-05-14,1,7872,7872,4,1,0,8788.5145,8041.5,2306.42504279432,239.4399,7872,7873,7877,7894,7921,7971,8041.5,8158.4,8374.5,8837,10152.7,12416.45,14910.75,1.00133869004209,2272.76537774613,1854.27689053302,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-11,2022-05-14,1,6565,6565,3,1,0,9212.1285,7094.5,6722.02883382756,742.0413,6567,6571,6585,6629.8,6716.7,6866.6,7094.5,7488.4,8219.3,9563.4,13343.8,18391.75,24551.275,1.00145851530487,1955.56837048915,1839.51784177083,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-12,2022-05-14,1,4054,4054,2,1,0,10672.918,5522.5,18004.888142218,2040.7989,4063,4079,4115,4260.8,4495.4,4922,5522.5,6484.8,8170.3,11280.8,20088.7,31973.7,46789.875,1.00054028906047,1794.73713741476,1847.10580908919,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-13,2022-05-14,1,0,0,1,NA,NA,10456.7225,3018.5,22621.3755015535,4058.6175,28,72.95,184.3,481.6,1004.4,1760.6,3018.5,5030.8,8092.40000000001,13506,26257.3,44086.8,71255.4499999999,0.999647736498081,2066.10518706196,1816.14911207744,2022-05-14
"Reference: Fixed, Report: Fixed",2022-05-14,2022-05-14,1,0,0,0,NA,NA,13206.456,4551.5,25247.1891711451,6012.6843,45.925,111,264.8,789.6,1594.7,2806,4551.5,7045.8,10868.7,18313.6,33105.6,55344.1,79957.975,0.999757677950949,1883.52534417657,2014.77546168908,2022-05-14
"Reference: Fixed, Report: Day of Week",2022-05-05,2022-05-14,1,8557,8557,9,1,0,8557,8557,0,0,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,NA,NA,NA,2022-05-14
"Reference: Fixed, Report: Day of Week",2022-05-06,2022-05-14,1,7468,7468,8,1,0,7471.2785,7468,7.02122400605989,0,7468,7468,7468,7468,7468,7468,7468,7469,7470,7473,7478,7484,7491,0.999426883996541,2045.4484354467,2014.59340029607,2022-05-14
"Reference: Fixed, Report: Day of Week",2022-05-07,2022-05-14,1,6342,6342,7,1,0,6348.462,6343,17.6006376936636,1.4826,6342,6342,6342,6342,6342,6342,6343,6344,6346,6350,6361,6372,6386,1.0019662439811,1690.59054096268,1892.54273911659,2022-05-14
