"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-28,2022-03-09,1,31807,31807,9,1,0.000911748986072248,31807,31807,0,0,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,NA,NA,NA,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-01,2022-03-09,1,31701,31701,8,1,0.00138796883379073,31706.3685,31701,13.9377486764931,0,31701,31701,31701,31701,31701,31701,31701,31702,31703,31707,31717,31730,31749,0.9994944040339,1870.72639141028,1754.15240944952,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-02,2022-03-09,1,33214,33214,7,1,0.00222797615463359,33239.671,33219,52.7449786746349,7.413,33214,33214,33214,33214,33215,33216,33219,33225,33234,33250,33286,33332,33391.075,1.00123978678354,2078.53584420006,2003.79186711946,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-03,2022-03-09,1,31316,31316,6,1,0.00303359305147528,31422.854,31343,261.409814715544,38.5476,31316,31316,31316,31319,31323,31331,31343,31363,31396,31445.2,31587,31805.3,31973.225,0.999744196454073,1953.09887739607,1939.88066994338,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-04,2022-03-09,1,30415,30415,5,1,0.00493177708367582,30824.7705,30534,837.201925679779,166.0512,30415,30416,30420,30431.8,30451,30484,30534,30614.4,30741,30948,31461,32153.55,33350.3,1.00219421724675,2145.89799156006,1843.29779856184,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-05,2022-03-09,1,28249,28249,4,1,0.00962865942157244,29781.811,28685.5,3054.13820207234,589.3335,28252,28257.95,28274,28321.8,28396,28507.6,28685.5,28952.8,29448.2,30401.4,32301.9,34927.2,38222.075,1.00407822206579,1914.79681327002,1944.86144352035,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-06,2022-03-09,1,35425,35425,3,1,0.0217360621030346,41176.109,37086.5,21813.8451662605,2220.1935,35445,35469,35529.8,35709.8,35973.4,36436,37086.5,37978.8,39647.3,42387.6,49754.3,57296.65,69904.8,1.00202884297736,1995.46591382352,1674.84528948971,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-07,2022-03-09,1,47984,47984,2,1,0.413200233411137,65416.798,53268,35517.3641139513,7135.7538,48043.9,48128,48284.9,48849.4,49892.7,51196.8,53268,56333.2,61453.7,71004.8,93822.6,126539.4,164854.6,1.00048521298495,1851.86299366607,1966.1896613193,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-08,2022-03-09,1,29849,29849,1,1,1,64686.765,42028,66437.4187302423,15768.1923,30032.975,30245.5,30850.5,32291.6,34581.7,37695.2,42028,48845.4,59861.6,77003.2,117429.6,171872.3,233100.199999999,1.00059956130729,1979.72223115357,1965.92080394902,2022-03-09
"Reference: Fixed, Report: Fixed",2022-03-09,2022-03-09,1,0,0,0,NA,NA,39965.81,17974.5,64800.5720299181,22028.4708,456.95,876.1,1986.4,4293.2,7936.9,12432.2,17974.5,26418.2,40740,59260.6,96494.6,148177.9,204268.824999999,0.999753630295046,1776.05521791169,1771.90920492139,2022-03-09
"Reference: Fixed, Report: Day of Week",2022-02-28,2022-03-09,1,31807,31807,9,1,0.000911748986072248,31807,31807,0,0,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,31807,NA,NA,NA,2022-03-09
