"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-30,2022-06-08,1,5869,5869,9,1,0.00153348100187425,5869,5869,0,0,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,NA,NA,NA,2022-06-08
"Reference: Fixed, Report: Fixed",2022-05-31,2022-06-08,1,5647,5647,8,1,0.00177085177970604,5651.11,5647,12.0424420366096,0,5647,5647,5647,5647,5647,5647,5647,5647,5649,5651,5658,5670.05,5684,1.00048725658879,1778.53194306853,1777.37003585296,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-01,2022-06-08,1,5639,5639,7,1,0.00461074658627416,5657.105,5642,40.0028635168131,4.4478,5639,5639,5639,5639,5639,5640,5642,5646,5651,5663,5689,5722,5781,0.99914706740364,1938.37227212389,1947.14442472689,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-02,2022-06-08,1,4997,4997,6,1,0.0054032419451671,5052.946,5013,105.344168233892,23.7216,4997,4997,4997,4999,5001,5006,5013,5026,5045,5073,5148.1,5250.05,5372.05,1.00126775683443,2108.9568279028,2004.28737658803,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-03,2022-06-08,1,5474,5474,5,1,0.00657654366094264,5689.7685,5531,510.761208799138,78.5778,5474,5475,5476.9,5483,5494,5509,5531,5573,5633.3,5743,6007,6383.1,6852.2,0.999413584113881,2072.81803175793,1830.29906909209,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-04,2022-06-08,1,6168,6168,4,1,0.0197795071335927,6890.548,6359.5,1520.30838729918,254.2659,6169,6172,6180,6203,6239,6290,6359.5,6481.4,6723.3,7108.8,8072.6,9286.25,11058.725,1.00019072335129,2104.30226930095,1864.63578122448,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-05,2022-06-08,1,8156,8156,3,1,0.0369053457577244,10344.511,8835,4698.04833914866,906.6099,8163.975,8172,8195,8268,8390.7,8554.6,8835,9182.4,9873.3,10872.2,13586.6,17402.5,22734.275,0.99983193404065,1946.99716437201,1935.70216023033,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-06,2022-06-08,1,9206,9206,2,1,0.271887899196176,14714.0425,11039.5,10127.4163882031,2398.8468,9228,9259.9,9320,9526,9885.1,10369.6,11039.5,11989,13577.2,16757.6,23723.7,32694.7,44808.65,0.999338013181169,1926.39466418995,1968.57875793146,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-07,2022-06-08,1,6200,6200,1,1,1,16046.3615,10059,17847.4438904435,5002.2924,6278,6337.85,6517.9,6987.4,7675,8601.2,10059,12062.2,15427.4,20880.6,31809.8,44159.55,59441.6749999998,1.00163945127809,1833.38959512301,1921.70233114968,2022-06-08
"Reference: Fixed, Report: Fixed",2022-06-08,2022-06-08,1,0,0,0,NA,NA,11034.4745,5465.5,16450.7171844662,6591.6396,141.9,295.85,595.6,1314.4,2348.5,3559.4,5465.5,7819,11411.5,16574,28019.7,40178.25,53159.8,1.00090677199773,1769.92801613958,2047.07997307716,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-05-30,2022-06-08,1,5869,5869,9,1,0.00153348100187425,5869,5869,0,0,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,NA,NA,NA,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-05-31,2022-06-08,1,5647,5647,8,1,0.00177085177970604,5649.138,5648,3.90058499223396,1.4826,5647,5647,5647,5647,5647,5647,5648,5648,5649,5650,5653,5656,5660,0.999850948387274,2096.34775683492,1985.59678094179,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-01,2022-06-08,1,5639,5639,7,1,0.00461074658627416,5645.765,5643,8.41529462299425,4.4478,5639,5639,5639,5640,5641,5642,5643,5644.4,5647,5650,5656,5662,5670,1.0002637571295,2094.46774244479,2081.57812760303,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-02,2022-06-08,1,4997,4997,6,1,0.0054032419451671,5010.3795,5005,15.6282949022206,8.8956,4997,4997,4998,5000,5001,5003,5005,5008,5012,5018,5029.1,5041,5050.05,1.00115163922291,1831.27096556822,1904.8823201822,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-03,2022-06-08,1,5474,5474,5,1,0.00657654366094264,5493.959,5486,23.4656267084092,13.3434,5474,5475,5476,5478,5480,5483,5486,5490,5496.3,5506,5520,5537,5555.05,0.999156823954722,1859.8940924006,1895.84228080818,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-04,2022-06-08,1,6168,6168,4,1,0.0197795071335927,6221.487,6197,72.0391119311164,29.652,6169,6171,6174,6179,6184,6190,6197,6208,6223,6247,6295,6346.05,6423,0.999607802966944,1999.31832915092,1715.23664313367,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-05,2022-06-08,1,8156,8156,3,1,0.0369053457577244,8536.375,8378.5,478.117586570808,227.5791,8169,8179.95,8198,8233,8273,8320,8378.5,8450,8560.3,8715.4,9052.2,9451.35,9835.325,1.00174560680881,2050.16670285652,1844.80460156585,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-06,2022-06-08,1,9206,9206,2,1,0.271887899196176,11691.438,10684,2968.37817699444,1434.4155,9345.975,9404.95,9526,9766,10025.4,10335.6,10684,11156.2,11858,12842.2,14847.2,17605.1,20415.775,1.0007555730778,2040.34181756026,2048.77135101028,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-07,2022-06-08,1,6200,6200,1,1,1,12640.44,10926.5,6505.42605672294,4305.4704,6555.975,6780.7,7190.9,7962.8,8800,9676,10926.5,12228.4,13699.6,15898.6,20284.3,24101.75,29527.4,1.00078151825834,2049.40428049348,1964.2563681044,2022-06-08
"Reference: Fixed, Report: Day of Week",2022-06-08,2022-06-08,1,0,0,0,NA,NA,7517.6925,5016.5,8467.46078071698,4675.3791,519.975,738.75,1170.7,1951.6,2875.6,3949.6,5016.5,6496.4,8354.5,11287.8,16551.7,21904.05,27764.325,1.00022050789475,2061.88060773536,1985.62332253569,2022-06-08
