"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-30,2022-05-09,1,6854,6854,9,1,0.00189670265538372,6854,6854,0,0,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,NA,NA,NA,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-01,2022-05-09,1,7680,7680,8,1,0.00247395833333333,7687.287,7680,24.7941728336166,0,7680,7680,7680,7680,7680,7680,7680,7680,7681,7685,7698.1,7721,7748,0.999113071878563,1966.48855087288,1957.38683588356,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-02,2022-05-09,1,10284,10284,7,1,0.0058343057176196,10314.147,10287,84.5312791786555,4.4478,10284,10284,10284,10284,10284,10285,10287,10291,10299,10317.2,10363.1,10433.05,10537.025,0.999298954479333,2121.52469292155,1869.38923999788,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-03,2022-05-09,1,11069,11069,6,1,0.0222242298310597,11167.535,11085,252.605598847857,23.7216,11069,11069,11069,11070,11071.7,11076,11085,11100,11128,11184.2,11328.1,11521.15,11786.05,0.999511876436232,1934.74609742888,1810.92595988414,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-04,2022-05-09,1,9701,9701,5,1,0.0599938150706113,10066.339,9767,966.338800016438,94.8864,9701,9701,9702,9707,9718,9736,9767,9818.4,9926,10127.2,10598.1,11314.15,12304.375,0.999889479114452,1967.16285452501,1978.55301137091,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-05,2022-05-09,1,8453,8453,4,1,0.332071453921685,9664.8115,8674.5,2947.58079435278,316.5351,8453,8454,8459,8478,8516,8574.6,8674.5,8841.4,9161.2,9811.6,11814.3,14441.8,17276.075,1.0000627661853,1927.01200140882,1451.89922399608,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-06,2022-05-09,1,7184,7184,3,1,1,11057.1235,7903.5,11636.9416063768,1022.2527,7186.975,7193,7207.9,7262,7373.7,7556.6,7903.5,8486.2,9463.9,11736.6,16648.9,24042.45,33236.65,1.00052919123946,2118.46224028548,1991.18122898216,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-07,2022-05-09,1,5857,5857,2,1,1,15018.5365,7779,20930.740659206,2710.1928,5866,5888,5933.9,6100,6379,6891.6,7779,9189.4,11785.3,17022.6,29505.3,48618.75,71886.9749999997,1.0007676082819,2023.2683927043,1636.99628675074,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-08,2022-05-09,1,4850,4850,1,1,1,21647.7315,9106,37961.0420017198,5903.7132,4867,4919.9,5043,5425.6,6185.4,7259.2,9106,12002.2,17342.5,26461.4,48563.6,79120.5,116082.05,1.00093597366075,2080.80475318403,2002.58103709255,2022-05-09
"Reference: Fixed, Report: Fixed",2022-05-09,2022-05-09,1,0,0,0,NA,NA,18794.715,5942,44284.581648726,7746.585,82.925,169.85,432.9,1176.8,2238.2,3799.2,5942,8952.8,13886.5,23698,47178.8,78457.35,106999.65,1.00063042686435,2047.65975686363,1865.08370280356,2022-05-09
"Reference: Fixed, Report: Day of Week",2022-04-30,2022-05-09,1,6854,6854,9,1,0.00189670265538372,6854,6854,0,0,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,6854,NA,NA,NA,2022-05-09
"Reference: Fixed, Report: Day of Week",2022-05-01,2022-05-09,1,7680,7680,8,1,0.00247395833333333,7689.8145,7682,21.0514291934192,2.9652,7680,7680,7680,7680,7680,7680,7682,7684,7687,7693,7709,7727,7748,1.00093016728453,1852.90019486442,1927.9210976101,2022-05-09
"Reference: Fixed, Report: Day of Week",2022-05-02,2022-05-09,1,10284,10284,7,1,0.0058343057176196,10356.6375,10304.5,142.01339724212,28.9107,10284,10284,10284,10286,10289,10295,10304.5,10319,10340,10384,10494.1,10595.05,10762.175,0.99931988747707,2070.3353813788,2071.18337940239,2022-05-09
