"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-13,2022-02-22,1,32285,32285,FALSE,1,9,0.00012389654638377,32302,32302,0,0,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,NA,NA,NA,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-14,2022-02-22,1,42222,42222,FALSE,1,8,0.000260527686987826,42227.9335,42222,17.4810890641492,0,42222,42222,42222,42222,42222,42222,42222,42223,42224,42228,42239,42255,42272,1.00110201272213,3984.15895280395,3877.47760343878,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-15,2022-02-22,1,39838,39838,FALSE,1,7,0.000476931572870124,39866.3365,39843,70.3307640499018,7.413,39838,39838,39838,39838,39839,39840,39843,39847,39855,39874,39916,39974,40040.025,0.999703254909228,4431.00226578001,4046.46841335853,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-16,2022-02-22,1,39139,39139,FALSE,1,6,0.0024272464804926,39257.29675,39165,293.339762465811,37.8063,39139,39139,39139,39141,39145,39153,39165,39185,39217,39284,39440,39677.1,39965.075,0.99951811156745,3697.35933654412,3714.0113252644,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-17,2022-02-22,1,33837,33837,FALSE,1,5,0.00570381535006058,34352.37425,33951,1249.12369511124,158.6382,33837,33838,33841,33853,33873,33905,33951,34026,34173,34454.2,35108.5,36155.1,37575.35,0.999828412941942,4057.07492513293,3928.19078883715,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-18,2022-02-22,1,24645,24645,FALSE,1,4,0.0107121119902617,26555.151,25078,5100.40640773655,600.453,24647,24652,24666,24709,24779,24888,25078,25407.4,25927,26913.6,29648,33486.15,38070.625,1.00094548379896,3674.47052297049,3846.47058853204,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-19,2022-02-22,1,26054,26054,FALSE,1,3,0.0269440393029861,33446.47025,27760,19402.8137176198,2344.7319,26065,26084,26142,26318.8,26606.7,27036.2,27760,28877,30857.9,34670.6,43807.1,57383.85,80012.2500000001,1.00020746024019,3842.61486417288,3709.32878829441,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-20,2022-02-22,1,27640,27640,FALSE,1,2,0.360709117221418,50548.39775,33032,60849.5762950398,7324.044,27695,27779.95,27967,28558,29500.5,30853,33032,36665.2,42544.2,53990.8,87300.5,127279.95,187105.4,1.00028982326635,3725.04406721574,3994.74103712765,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-21,2022-02-22,1,18502,18502,FALSE,1,1,1,63761.1125,32453.5,93221.3571716888,18880.1697,18645,18832.85,19287.9,20809.2,23383.8,27121,32453.5,41344.4,55582.7,79932,136243,203662.399999999,301284.475,0.999764988644256,3930.12654382868,3814.22266799541,2022-02-22
"Reference: Fixed, Report: Fixed",2022-02-22,2022-02-22,1,0,0,FALSE,NA,0,NA,52528.45525,20775.5,103026.184895664,25907.6937,336.975,742.65,1794.9,4787,8877.6,14100.2,20775.5,30765.2,45366.8,71192.2,130146.7,201709.25,296060.5,0.999859770634308,4182.80008526134,4098.94396368833,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-13,2022-02-22,1,32285,32285,FALSE,1,9,0.00012389654638377,32302,32302,0,0,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,NA,NA,NA,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-14,2022-02-22,1,42222,42222,FALSE,1,8,0.000260527686987826,42228.96425,42225,11.4746193252615,4.4478,42222,42222,42222,42222,42223,42223,42225,42226,42229,42233,42242,42251,42261,1.00230033526819,3839.75049554566,3846.00511020857,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-15,2022-02-22,1,39838,39838,FALSE,1,7,0.000476931572870124,39865.21,39853,37.0591452284219,17.7912,39838,39838,39839,39842,39845,39849,39853,39859,39868,39879,39903,39932,39965.025,1.00628112644191,3918.60197641786,2760.7279869217,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-16,2022-02-22,1,39139,39139,FALSE,1,6,0.0024272464804926,39240.65775,39195,148.623754393536,57.8214,39141,39144,39148,39157,39167,39179,39195,39213,39238,39283,39379,39492.05,39623.05,1.0193385848001,2852.05884975923,2609.64912940838,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-17,2022-02-22,1,33837,33837,FALSE,1,5,0.00570381535006058,34192.56775,34020,573.183890957475,183.8424,33850,33859,33874,33902,33933,33974,34020,34082,34170,34324.2,34671.1,35061.05,35530.25,1.02715692323393,474.469205911506,2691.85994193947,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-18,2022-02-22,1,24645,24645,FALSE,1,4,0.0107121119902617,25272.7765,24935,1183.3016856523,312.8286,24661,24671,24692,24734,24782,24849,24935,25040.4,25194,25481.2,26132,26858.5,28046.4,1.05824419623131,45.4103528840003,2127.17033837573,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-19,2022-02-22,1,26054,26054,FALSE,1,3,0.0269440393029861,27355.0825,26515,2535.155775272,560.4228,26076,26090,26118,26174.8,26257,26365,26515,26752.4,27154.5,27830.6,29135.6,31306.05,33702.3,1.16862667310443,15.9878386431089,236.883882325941,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-20,2022-02-22,1,27640,27640,FALSE,1,2,0.360709117221418,35223.42475,30617,14264.1922509647,3525.6228,27796,27872,28034.8,28454.2,28967.1,29618.6,30617,31999.4,34284.3,38150.6,45984.7,57063.7,72157.05,1.13289320157014,20.293371499658,1571.32603782785,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-21,2022-02-22,1,18502,18502,FALSE,1,1,1,46203.07925,33901.5,38043.6577657698,16155.1509,19475.7,20080.95,21214.8,23722.8,26523.7,29701,33901.5,39302.8,46706.9,59209.6,81764.2,113708.05,153505.875,1.02106578315922,175.411526630969,3636.21309491588,2022-02-22
"Reference: Fixed, Report: Day of Week",2022-02-22,2022-02-22,1,0,0,FALSE,NA,0,NA,36471.64925,23555.5,41105.3412796884,22268.652,2134.95,3455.55,5498.4,9294.6,13302.7,18072.6,23555.5,30889,40638.4,55540.8,82361.8,110509.4,147676.75,1.00041310580698,3918.88691871196,3927.37939097505,2022-02-22
