"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-03-06,2022-03-15,1,35835,35835,9,1,0.000251151109250733,35835,35835,0,0,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,NA,NA,NA,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-07,2022-03-15,1,50859,50859,8,1,0.00039324406693014,50866.887,50859,22.6720586211544,0,50859,50859,50859,50859,50859,50859,50859,50860,50862,50867,50880,50904,50925,0.999544043812568,1982.07322258934,1957.76926668699,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-08,2022-03-15,1,52097,52097,7,1,0.000844578382632397,52133.735,52104,81.6479391533184,10.3782,52097,52097,52097,52097,52098,52100,52104,52110,52122,52142,52198,52274.05,52369.05,0.99913315368817,1966.85194544584,1919.70720950279,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-09,2022-03-15,1,55106,55106,6,1,0.0018691249591696,55243.185,55143,279.838347131451,53.3736,55106,55106,55107,55110.8,55117,55128,55143,55168,55211,55283,55481.5,55713.15,56076.2,1.000055466279,2063.31887675552,1813.26506114336,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-10,2022-03-15,1,53678,53678,5,1,0.00367003241551474,54185.97,53822.5,972.799528454491,196.4445,53678,53680,53685,53700.8,53724,53761,53822.5,53916,54063,54382.2,55098,56012,57118.8,1.00162064104305,2104.03599613871,1759.55990818744,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-11,2022-03-15,1,51731,51731,4,1,0.0118304304962208,53837.707,52303.5,4596.19072338538,777.6237,51734,51740,51760,51822,51921,52077.6,52303.5,52649,53285.8,54429.6,57173.4,60489,64911.4249999999,1.00243169806737,1928.26087088936,1834.32639371626,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-12,2022-03-15,1,48269,48269,3,1,0.0232861671051814,55246.0245,50036,16128.9984580112,2374.3839,48290.975,48312.95,48379.9,48571,48909,49382.6,50036,51112.4,52988.2,56430.4,66803.6,81434.5,94886.525,1.00024934147057,2101.16883634522,1820.12931016458,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-13,2022-03-15,1,58013,58013,2,1,0.343871201282471,77314.8115,64391.5,35743.1133388174,8569.428,58080.975,58179,58426,59126,60375,61740.2,64391.5,68548.2,74923.8,83828,106138.7,137922.85,179551.475,0.999759290962086,1846.03627965744,1930.8495043757,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-14,2022-03-15,1,42035,42035,1,1,1,80920.471,56214.5,73883.0288557434,18447.2505,42291.9,42517.95,43027.9,44790.4,47109.9,50870.4,56214.5,63730.2,74609.6,94954.6,140575.2,198290.8,274973.974999999,1.00005899588286,1977.46337122895,1824.76096288341,2022-03-15
"Reference: Fixed, Report: Fixed",2022-03-15,2022-03-15,1,0,0,0,NA,NA,46882.786,21961,71470.0311327781,26677.9044,559.825,1108.4,2233.6,5311,9141.1,14807,21961,32009.6,47258.6,68694,121947.1,182923.4,235280.25,0.999393051021756,1942.11900225319,1696.67989882747,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-06,2022-03-15,1,35835,35835,9,1,0.000251151109250733,35835,35835,0,0,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,NA,NA,NA,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-07,2022-03-15,1,50859,50859,8,1,0.00039324406693014,50876.0165,50868,21.6432539829732,11.8608,50859,50859,50859,50860,50862,50865,50868,50872,50878,50887,50904.1,50921.05,50941,1.00506088604638,1745.59722934585,1959.70721719967,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-08,2022-03-15,1,52097,52097,7,1,0.000844578382632397,52134.5915,52124,35.6497135863585,26.6868,52098,52099,52102,52107,52112,52117,52124,52132.4,52142,52157,52180,52205,52230.075,1.00166150704644,2009.85853079273,1789.03363104277,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-09,2022-03-15,1,55106,55106,6,1,0.0018691249591696,55214.848,55192,91.0271435695596,65.2344,55115,55121,55130,55145,55161,55176,55192,55212,55234,55264,55328,55390.05,55467.175,1.0539446755445,31.3232057114526,1633.08048336934,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-10,2022-03-15,1,53678,53678,5,1,0.00367003241551474,54012.1055,53927,293.098228680382,201.6336,53715.975,53732,53753,53793,53829.7,53878.6,53927,53983.4,54073.3,54180,54390.9,54582.35,54837.375,1.12482138817577,10.7785460672581,70.6942900585675,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-11,2022-03-15,1,51731,51731,4,1,0.0118304304962208,52081.374,51985,315.333464321281,201.6336,51768,51784,51809.9,51854,51891,51936.6,51985,52052.4,52131,52259,52467.2,52683,52938,1.06520979230978,22.0277879573037,634.719862742569,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-12,2022-03-15,1,48269,48269,3,1,0.0232861671051814,48598.8935,48493,336.635624867177,195.7032,48298,48310.95,48333,48366,48404,48446,48493,48556,48645.3,48761.2,48988,49231.15,49529.3,1.06854092946249,22.6349086966702,137.483794594771,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-13,2022-03-15,1,58013,58013,2,1,0.343871201282471,59712.5075,59158.5,1849.33294490589,1053.3873,58156.85,58209,58281.9,58474,58665.4,58881.4,59158.5,59457.4,59915.6,60509,61811.1,63166.85,64404.6,1.07673305919346,21.2285923877697,97.2517167562329,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-14,2022-03-15,1,42035,42035,1,1,1,55437.4605,51654,12692.5218872519,8450.82,43118.95,43625,44539.9,46116.2,47873.9,49745.8,51654,54189.2,57664.8,62243.8,70016.1,80946.85,90125.575,1.01590658907465,1234.96727129773,1172.15492291889,2022-03-15
"Reference: Fixed, Report: Day of Week",2022-03-15,2022-03-15,1,0,0,0,NA,NA,23766.0505,18306.5,20486.6990766321,14421.9915,2534.825,3670.05,5514,8408,11248.4,14660.8,18306.5,22720.8,27847,35295.4,48331.5,60991.75,76427.325,1.0192493044132,750.600109843071,1354.9626400956,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-06,2022-03-15,1,35835,35835,9,1,0.000251151109250733,35835,35835,0,0,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,35835,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-07,2022-03-15,1,50859,50859,8,1,0.00039324406693014,50871.9281407035,50865,18.1078097048758,8.8956,50859,50859,50859,50860,50861,50863,50865,50869,50873,50880,50895,50909,50922,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-08,2022-03-15,1,52097,52097,7,1,0.000844578382632397,52131.5527638191,52120,34.9239204717287,23.7216,52097.725,52098.45,52100.9,52104,52109,52114,52120,52128,52139.3,52152.2,52178,52202.55,52230.275,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-09,2022-03-15,1,55106,55106,6,1,0.0018691249591696,55219.0095477387,55192,102.001978555602,75.6126,55113,55117,55125,55140,55156,55173,55192,55214.4,55239,55278.2,55350,55416,55486.55,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-10,2022-03-15,1,53678,53678,5,1,0.00367003241551474,54049.2130653266,53931,375.012613604053,223.8726,53708,53724,53748,53788,53829,53875,53931,54001,54102.9,54233.6,54479.1,54755.5,55033.475,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-11,2022-03-15,1,51731,51731,4,1,0.0118304304962208,52166.4874371859,52020,450.59146939391,252.042,51765,51781,51807.9,51857,51906,51958.6,52020,52096.4,52212.3,52387.2,52714.1,53059.85,53333.05,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-12,2022-03-15,1,48269,48269,3,1,0.0232861671051814,48652.6371859296,48513.5,433.930633737754,227.5791,48294,48304,48324,48366,48410.7,48456,48513.5,48586,48685,48831,49130.3,49510.2,49784.55,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-13,2022-03-15,1,58013,58013,2,1,0.343871201282471,60535.0261306533,59585,2762.52601166556,1558.9539,58144.725,58216.35,58338,58576.8,58862.7,59186.6,59585,60092,60804.6,61936.8,64135.3,66198.1,68358.125,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-14,2022-03-15,1,42035,42035,1,1,1,67968.6306532663,59425,26281.9524319017,16818.6144,43705.125,44343.65,45675.9,48328.6,51727.9,55177.4,59425,64645.4,71622.6,82381.8,102572.3,122365.75,142924.15,NA,NA,NA,2022-03-15
"Reference: Week, Report: Day of Week",2022-03-15,2022-03-15,1,0,0,0,NA,NA,47906.0582914573,34369.5,46618.073253362,28482.2286,3545.9,5638.25,9145.5,15488.2,21406.1,27694.4,34369.5,43301.4,54586.7,70600.6,99159.3,134753.6,172741.575,NA,NA,NA,2022-03-15
