"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-03-21,2022-03-30,1,89400,89400,9,1,0.00129753914988814,89400,89400,0,0,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,NA,NA,NA,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-22,2022-03-30,1,81365,81365,8,1,0.00164689977262951,81385.833,81366,57.4153321960745,1.4826,81365,81365,81365,81365,81365,81365,81366,81368,81373,81384,81425,81480,81544.025,1.00010723861082,2030.16615448944,2003.57923001967,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-23,2022-03-30,1,77110,77110,7,1,0.00180261963428868,77185.9945,77125,158.550135737947,22.239,77110,77110,77110,77111,77113,77117,77125,77141,77166.3,77214,77315,77472.15,77646.025,0.999458828399432,2045.10046583919,2051.13506171106,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-24,2022-03-30,1,68130,68130,6,1,0.00252458535153383,68460.7985,68218,790.421757149205,124.5384,68130,68130,68132,68140,68154,68180,68218,68276.4,68360,68529.2,68951.1,69513.35,70341.625,0.999598468139377,1945.52742932469,1977.02794559461,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-25,2022-03-30,1,59730,59730,5,1,0.00438640549137787,60725.234,60014,2225.26167944694,387.6999,59731,59733,59742,59772,59821,59898.6,60014,60182,60462.5,61076,62257.2,63972,66180.8,1.00232520651892,2004.63530204871,1816.75592558678,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-26,2022-03-30,1,51295,51295,4,1,0.0124573545179842,55136.213,52374,7685.7053557913,1460.361,51304.975,51320,51365,51487.6,51674.7,51963.2,52374,53154.2,54331.3,56503,61699.4,68724.85,76123,0.99969473761247,2062.95719986813,1514.07907265768,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-27,2022-03-30,1,57255,57255,3,1,0.0559427124268623,70710.3325,60867.5,30200.6833380138,4892.58,57292,57349,57497.9,57875.8,58511.2,59518.8,60867.5,63520,67373.8,75703.2,90577.8000000001,112333,144990.1,1.00005469237471,2190.56570855234,2005.22091150901,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-28,2022-03-30,1,71020,71020,2,1,0.462869614193185,103440.554,80775,65722.5545710432,12934.2024,71169.925,71316,71711.5,72787.4,74373,76788.2,80775,86871.4,96915.2,114768.8,153879.2,218250.9,272125.075,1.00035231672508,1886.2907854565,1892.35341132952,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-29,2022-03-30,1,33805,33805,1,1,1,99766.6105,58895.5,113170.952307277,32268.789,34256.9,34730.25,35925.7,38971,43694.4,49496,58895.5,72046,93015.8,130295.6,204248.2,303483.45,405990.925,1.0009447647345,2077.61483906394,1926.7880842163,2022-03-30
"Reference: Fixed, Report: Fixed",2022-03-30,2022-03-30,1,0,0,0,NA,NA,80993.5585,35673,139629.851916016,44842.7196,833.5,1467,3242.4,8021.8,14495.1,23526.4,35673,53964,77758.8,116732,195842.4,297133.35,421843.975,1.00163617885113,1976.66893265192,1974.81172923586,2022-03-30
"Reference: Fixed, Report: Day of Week",2022-03-21,2022-03-30,1,89400,89400,9,1,0.00129753914988814,89400,89400,0,0,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,89400,NA,NA,NA,2022-03-30
"Reference: Fixed, Report: Day of Week",2022-03-22,2022-03-30,1,81365,81365,8,1,0.00164689977262951,81436.47,81401,93.4439992214334,47.4432,81365,81365,81366,81371,81377,81387,81401,81418,81444,81484.2,81561.2,81626,81684.025,1.00583172503787,2032.2134138379,1551.59390796929,2022-03-30
