"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-16,2022-04-25,1,16044,16044,9,1,0.00236848666168038,16044,16044,0,0,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,NA,NA,NA,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-17,2022-04-25,1,16203,16203,8,1,0.00271554650373388,16216.74,16203,39.3824947209445,0,16203,16203,16203,16203,16203,16203,16203,16204,16206,16213,16243,16282,16340.025,0.999706032838499,1978.4841541114,1932.32415080939,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-18,2022-04-25,1,20463,20463,7,1,0.00229682842203001,20521.0785,20470,152.530502244002,10.3782,20463,20463,20463,20463,20464,20465,20470,20479,20496,20533,20626.1,20732.1,20873.025,1.00013486349601,1744.58036387509,1923.94659214691,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-19,2022-04-25,1,20448,20448,6,1,0.0196107198748044,20675.0235,20489,637.81090640088,60.7866,20448,20448,20448,20450,20456,20468,20489,20524,20587.3,20701.2,20982,21450.45,22051.025,1.00001828089915,2051.00035742562,1796.10400738316,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-20,2022-04-25,1,16759,16759,5,1,0.063368936094039,17446.6495,16918,1554.77863310142,225.3552,16759,16760,16764,16776.8,16801,16846.6,16918,17026.4,17213.3,17582.2,18520.5,19775.2,21702.325,0.999754071467368,1942.26956665448,1846.0093668565,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-21,2022-04-25,1,14304,14304,4,1,0.345078299776286,16689.96,14827,6134.00650116041,723.5088,14306,14309,14323,14373,14461,14594.6,14827,15146.4,15688.3,17024.6,20216.8,25546.5,31828.475,1.00055429119965,1895.61227138737,1925.60136573982,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-22,2022-04-25,1,11940,11940,3,1,1,20143.815,13465,20497.4245570635,2114.1876,11950,11967,12010.8,12152,12451,12852.6,13465,14521,16749,20639.2,33873.7,52855.65,70703.3749999999,0.999691120226915,1770.47061453074,1494.51850912516,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-23,2022-04-25,1,9573,9573,2,1,1,27838.518,13777,41906.3972373358,5776.9509,9610.925,9667,9814.4,10268.6,10892.7,11999,13777,16799,21999.6,32340.8,57640.5,91887,131623.975,0.999549615708451,1905.54799242243,2005.84233862233,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-24,2022-04-25,1,7527,7527,1,1,1,43634.8985,18240.5,91073.1386299998,14470.9173,7637.875,7782.35,8059.1,9249.2,10792.8,13571.6,18240.5,24466.6,34643.9,53409,93478.8,161678.75,251898.3,1.00028208404366,2064.60598510835,1848.18270998996,2022-04-25
"Reference: Fixed, Report: Fixed",2022-04-25,2022-04-25,1,0,0,0,NA,NA,39245.105,14727,77131.1220930996,18968.3844,232.9,502.75,1136.4,2923.6,5639.8,8932.4,14727,22304,33837.8,52635.2,97603.7,155886.5,231037.774999999,1.00146639330441,1831.80337503939,1885.0971733807,2022-04-25
"Reference: Fixed, Report: Day of Week",2022-04-16,2022-04-25,1,16044,16044,9,1,0.00236848666168038,16044,16044,0,0,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,16044,NA,NA,NA,2022-04-25
"Reference: Fixed, Report: Day of Week",2022-04-17,2022-04-25,1,16203,16203,8,1,0.00271554650373388,16221.206,16207,35.0718631069251,5.9304,16203,16203,16203,16203,16204,16205,16207,16211,16218,16229.2,16255.1,16292.05,16319.025,1.00015315665097,1994.68998787977,1826.0058946783,2022-04-25
