"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-14,2022-02-23,1,42235,42235,FALSE,1,9,0.000307801586362022,42235,42235,0,0,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,NA,NA,NA,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-15,2022-02-23,1,39864,39864,FALSE,1,8,0.000652217539634758,39869.78225,39864,16.6795949339092,0,39864,39864,39864,39864,39864,39864,39864,39865,39866,39870,39880,39895,39915.025,0.999964852504731,4031.06108057665,3700.42647630562,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-16,2022-02-23,1,39161,39161,FALSE,1,7,0.000561783406961007,39188.21375,39166,63.317993911887,7.413,39161,39161,39161,39161,39162,39163,39166,39171,39179,39195,39233,39287.05,39358,0.999643779974642,3582.8933045481,3821.65468439392,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-17,2022-02-23,1,33905,33905,FALSE,1,6,0.00200560389323109,34021.29075,33931,274.909491508693,37.065,33905,33905,33905,33907,33911,33919,33931,33949,33981,34041,34209,34445,34721.45,0.999608117419895,3942.33027125978,3978.74654209749,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-18,2022-02-23,1,24760,24760,FALSE,1,5,0.00464458804523425,25224.008,24870,1057.20369056622,154.1904,24760,24761,24765,24775,24794,24822.6,24870,24950,25090,25324.2,25938.7,26874.35,27949.3,1.00006548841908,4137.59972441105,3979.56301014623,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-19,2022-02-23,1,26261,26261,FALSE,1,4,0.00788241118007692,27986.23625,26664.5,3848.21166084749,556.7163,26263,26268,26281,26324,26390,26504,26664.5,26948.4,27407,28508.2,31012.6,34043.85,37872.2,1.00066824495847,4286.21410399509,3932.51000836829,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-20,2022-02-23,1,28258,28258,FALSE,1,3,0.0218699129450067,35489.77725,30009.5,17711.8417615385,2412.1902,28272,28291,28342,28512.8,28801.4,29265.6,30009.5,31182.8,33206,36929.6,47196.6,60017.2999999999,75655.375,1.00028406439557,4091.8537230988,3911.70312058441,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-21,2022-02-23,1,31518,31518,FALSE,1,2,0.412970366139984,54564.0345,37979.5,59853.8263629184,8711.7576,31577.975,31673.9,31903.8,32606.4,33689.7,35286.8,37979.5,41971,47999.3,58754.6,86334,126793.65,179284.55,1.00090219912769,3910.27576414229,3817.59748865727,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-22,2022-02-23,1,15110,15110,FALSE,1,1,1,56597.79975,29554.5,79364.4468000195,19049.9274,15312.875,15508.9,16164.8,17812.4,20366.7,24065.4,29554.5,38486.6,51734,75076.2,122677.4,181440.35,257897.375,1.0002024430824,3940.19172865446,4015.87616450984,2022-02-23
"Reference: Fixed, Report: Fixed",2022-02-23,2022-02-23,1,0,0,FALSE,NA,0,NA,53791.288,22227.5,101082.528463774,27376.209,419.85,909.95,2123.6,5226.2,8969.2,14154,22227.5,32816.6,47927.3,76558.6,133107.7,201476.2,286754.375,0.99936950417148,3752.34161470493,3890.99781284818,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-14,2022-02-23,1,42235,42235,FALSE,1,9,0.000307801586362022,42235,42235,0,0,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,42235,NA,NA,NA,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-15,2022-02-23,1,39864,39864,FALSE,1,8,0.000652217539634758,39872.17225,39867,14.6929932604026,4.4478,39864,39864,39864,39864,39865,39866,39867,39869,39872,39876,39886,39898,39912,1.00028109746255,3552.47462040843,3252.8781384758,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-16,2022-02-23,1,39161,39161,FALSE,1,7,0.000561783406961007,39190.07725,39176,42.3733838435413,17.7912,39161,39161,39162,39165,39168,39171,39176,39182,39191,39205,39234,39265,39297,1.00025223883229,3943.41431070796,3917.8284492771,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-17,2022-02-23,1,33905,33905,FALSE,1,6,0.00200560389323109,33996.68275,33951,139.081722500913,51.891,33906,33908,33911,33919,33927,33938,33951,33970,33996,34041,34122.1,34224.15,34360.075,1.00001889313413,3374.8138102908,3371.00540014973,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-18,2022-02-23,1,24760,24760,FALSE,1,5,0.00464458804523425,24923.714,24841,254.000595037826,90.4386,24762,24766,24772,24783,24797,24817,24841,24875,24924,24997,25152.1,25359.05,25576.025,1.00131855809115,3931.93653356442,3742.09260776305,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-19,2022-02-23,1,26261,26261,FALSE,1,4,0.00788241118007692,26628.58625,26434,532.823899978252,203.1162,26267.975,26273,26285,26311,26344,26383,26434,26518,26622,26817.2,27202.3,27624,28088.275,0.999718828394091,3783.8262125225,3975.75963016689,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-20,2022-02-23,1,28258,28258,FALSE,1,3,0.0218699129450067,30848.1415,29501.5,3981.26408247448,1416.6243,28312,28346,28421,28602,28831.7,29103.6,29501.5,30015.6,30678.3,31928.8,34804.4,38186,41648.725,1.00070362231312,3892.09754406804,3795.12165301847,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-21,2022-02-23,1,31518,31518,FALSE,1,2,0.412970366139984,48640.38275,39557,27072.8947159946,9115.7661,31861.975,32115.9,32723.6,33970.4,35498.4,37189.6,39557,43173.6,48562,56561.6,73478,92424.65,115380.5,1.00031057732175,3416.68870202467,3676.48710633224,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-22,2022-02-23,1,15110,15110,FALSE,1,1,1,51816.73425,35511.5,52605.0960897305,22192.2981,16121.8,16886.7,18123.9,21352.4,25067,29408.4,35511.5,42651.6,53329.2,69422,101646.5,140614.85,175006.2,1.00096343853394,3870.00236550242,3507.34151013599,2022-02-23
"Reference: Fixed, Report: Day of Week",2022-02-23,2022-02-23,1,0,0,FALSE,NA,0,NA,40600.5565,24226.5,56919.1321938391,23605.9572,1607.55,2602.55,4698.2,8919.8,13054.8,18077.6,24226.5,31363,42174.2,58611.6,90259.9,131538.7,177487.625,1.00000697281473,4116.12339124121,3470.75237529619,2022-02-23
