"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-06-18,2022-06-27,1,11562,11562,9,1,0.0013838436256703,11562,11562,0,0,11562,11562,11562,11562,11562,11562,11562,11562,11562,11562,11562,11562,11562,NA,NA,NA,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-19,2022-06-27,1,14466,14466,8,1,0.00103691414350892,14471.0105,14466,14.580695734225,0,14466,14466,14466,14466,14466,14466,14466,14466,14467,14470,14480,14496,14513.025,0.999188577036915,2210.6657526093,2038.67635919301,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-20,2022-06-27,1,16811,16811,7,1,0.00505621319374219,16834.941,16815,63.1752093192913,5.9304,16811,16811,16811,16811,16811,16812,16815,16819,16826,16839,16871,16919,16990.025,0.999712869513087,2057.82857457115,2044.47276542811,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-21,2022-06-27,1,17376,17376,6,1,0.0200276243093923,17465.7885,17394,218.417077577828,26.6868,17376,17376,17376,17377,17380,17385,17394,17408,17436,17489.2,17606.1,17768.25,18025.075,0.999896392247606,2165.32305226024,1897.9607688175,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-22,2022-06-27,1,17553,17553,5,1,0.0594200421580357,17833.6045,17635.5,590.363054694248,114.9015,17553,17553,17555,17563,17577,17600,17635.5,17684,17775.3,17922.4,18290,18730.4,19391.1,1.00088294956279,2069.58598062753,1811.75808882774,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-23,2022-06-27,1,16315,16315,4,1,0.342752068648483,17358.0925,16579,2391.72889025617,366.2022,16316,16318,16326,16350,16390.7,16461,16579,16737.4,17021,17552.2,19090.2,21045.3,22949.5,1.00005795016813,2074.3519650185,1963.50608442545,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-24,2022-06-27,1,14942,14942,3,1,1,18018.413,15760,6355.16000504912,1114.9152,14947.975,14960,14986.9,15063.8,15188.7,15393.2,15760,16298.4,17184.9,18824.8,23168.4,28507.75,37840.8999999999,1.00102082972133,2027.84407666042,1788.20377742943,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-25,2022-06-27,1,13433,13433,2,1,1,21143.5495,15682.5,19017.5743219027,3037.1061,13453.975,13480.95,13560,13813.4,14211.1,14833.6,15682.5,16978.4,19124.5,23498.2,31963.9,43563.95,58994.5499999999,0.999415060475905,1794.15792691528,1728.10916363102,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-26,2022-06-27,1,11791,11791,1,1,1,26298.508,16677,32243.307815458,6433.0014,11854.975,11923,12135.8,12801,13638.5,14935.2,16677,19281.4,23413.2,30982.4,46441.3,68624.2,98623.1999999998,1.00002981967008,2018.94009785434,1913.12834251683,2022-06-27
"Reference: Fixed, Report: Fixed",2022-06-27,2022-06-27,1,0,0,0,NA,NA,15815.336,6537,25892.0747271041,8107.5981,126.85,338.95,653.1,1505.8,2765.8,4265,6537,9610,14879.4,23345.8,40863.5,60323.7,83555.4499999997,1.00134565460173,1988.77190574756,1923.68244081983,2022-06-27
