"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-03-15,2022-03-24,1,73766,73766,9,1,0.000813382859311878,73766,73766,0,0,73766,73766,73766,73766,73766,73766,73766,73766,73766,73766,73766,73766,73766,NA,NA,NA,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-16,2022-03-24,1,73530,73530,8,1,0.00150958792329661,73544.5575,73531,41.7612583035706,1.4826,73530,73530,73530,73530,73530,73530,73531,73532,73536,73545,73568,73609.05,73654.025,1.00059414115956,1855.01779789457,1724.46902532614,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-17,2022-03-24,1,67235,67235,7,1,0.00104112441436752,67309.5835,67252,179.81146545564,25.2042,67235,67235,67235,67236,67238,67243,67252,67267,67290,67332,67439,67587.5,67719.05,0.99985127170269,2003.43861463011,1907.50158535786,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-18,2022-03-24,1,61467,61467,6,1,0.00169196479411717,61729.466,61537,546.259210820928,99.3342,61467,61467,61469,61475,61488,61507,61537,61585,61668.3,61816.2,62161.3,62667.05,63211.775,0.999575339987222,1993.51131079061,2049.46026958846,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-19,2022-03-24,1,54795,54795,5,1,0.0019709827539009,55865.6945,55076,2373.78366128951,383.2521,54796.975,54799,54809.9,54839.8,54890,54966.6,55076,55266,55547.2,56184,57579.6,59268.25,62499.6,0.99958547029459,1980.61128279597,1896.27354853589,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-20,2022-03-24,1,66524,66524,4,1,0.00554687030244724,70071.6005,67501,8782.37477475437,1311.3597,66533,66550.95,66589.9,66704,66887.7,67141.6,67501,68084,68919.3,70717,75290.6,82605.35,89305.7749999999,0.999892694210447,2090.40065390933,2007.28240505486,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-21,2022-03-24,1,88221,88221,3,1,0.0286099681481733,98684.0655,91407,21651.1844578403,4156.4691,88252.975,88311.95,88442,88828.4,89394.6,90219,91407,93112.2,95692.2,102173,115374.2,133994.4,155110,1.00113663321905,1859.09515439826,1964.90015971718,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-22,2022-03-24,1,76648,76648,2,1,0.430970149253731,112129.931,87552,74261.4823759638,14421.2502,76804.825,76967.85,77445.3,78716.4,80420.3,83182,87552,93980.6,105413,124024,166424.7,227757.5,308545.125,1.00024154749476,2019.84883562739,1822.5111953216,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-23,2022-03-24,1,42705,42705,1,1,1,109696.1605,68185.5,120482.114312986,32662.4193,43191.85,43708.2,44689.5,47732.4,51953.1,59047,68185.5,82041.4,102109.2,137478.8,216235.9,301169.5,411811.275,1.00087428704517,1961.07825392745,1886.61738429145,2022-03-24
"Reference: Fixed, Report: Fixed",2022-03-24,2022-03-24,1,0,0,0,NA,NA,77720.9835,35775,127005.904057193,43784.1432,678.425,1464.75,3390.7,8440.2,15532.4,24356,35775,50687.2,75695.2,112354.8,189071,286937,408186.125,1.00003292517325,1796.73651044434,1975.86071938281,2022-03-24
