"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-21,2022-04-30,1,14446,14446,9,1,0,14446,14446,0,0,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,NA,NA,NA,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-22,2022-04-30,1,12474,12474,8,1,0,12481.9775,12474,23.9806282030832,0,12474,12474,12474,12474,12474,12474,12474,12474,12476,12481,12496,12519,12546,1.00151256429942,1945.03315488788,1899.19756907088,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-23,2022-04-30,1,10518,10518,7,1,0,10555.0975,10521,110.980278900814,4.4478,10518,10518,10518,10518,10518,10519,10521,10525,10535,10553.2,10609,10705.05,10816,0.999579243330992,2040.93995417433,2022.97757631727,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-24,2022-04-30,1,11820,11820,6,1,0,11930.1805,11841,315.838113242589,31.1346,11820,11820,11820,11821,11825,11831,11841,11857,11889,11954,12106.1,12291.05,12579.125,1.00031009144242,2040.18527163987,1877.1156847727,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-25,2022-04-30,1,13256,13256,5,1,0,13683.9575,13337.5,1005.74339052143,117.8667,13256,13256,13258,13265,13279,13303,13337.5,13411,13513,13759.6,14343,15355,16427.275,0.99970408787944,1875.28336838441,2000.80961061549,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-26,2022-04-30,1,10920,10920,4,1,0,12269.6235,11198.5,3117.12119912473,392.1477,10920,10923,10931,10953.8,11000,11076,11198.5,11421.8,11851.6,12547.4,14388.7,17118.35,20618.075,0.999517877085584,1676.58212898002,1780.54911339672,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-27,2022-04-30,1,9330,9330,3,1,0,13542.7775,10144,10779.1200688982,1131.2238,9336,9344,9366,9432.8,9570.4,9783,10144,10729.4,11853,13989,19807.2,29412.9,39989.3999999999,0.999859017652815,1970.88863411954,1692.64149786506,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-28,2022-04-30,1,5814,5814,2,1,0,17529.1195,8317,31680.3667842405,3486.3339,5830,5850,5917,6136.6,6536.7,7241.4,8317,10058.8,12901.4,19885.6,35980.9,59754.95,91478.6499999999,1.00022949567018,1907.7834694452,1765.22587485927,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-29,2022-04-30,1,0,0,1,NA,NA,19348.7815,5922.5,40875.4572443811,8049.7767,43.925,108.8,295.8,851.6,1715.4,3234.2,5922.5,9410.2,15750.9,25293.2,51978.1,81757.6,113435.625,1.00059703289308,1927.49832511936,1750.80045090839,2022-04-30
"Reference: Fixed, Report: Fixed",2022-04-30,2022-04-30,1,0,0,0,NA,NA,21562.7025,7352.5,45815.8576935333,9498.2769,91.975,205.95,522,1320.2,2552.4,4444.4,7352.5,11105.4,16962.9,27636.8,53103.2,82202.35,133673.325,1.00145890644217,1885.20663407287,1665.62171565575,2022-04-30
"Reference: Fixed, Report: Day of Week",2022-04-21,2022-04-30,1,14446,14446,9,1,0,14446,14446,0,0,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,NA,NA,NA,2022-04-30
"Reference: Fixed, Report: Day of Week",2022-04-22,2022-04-30,1,12474,12474,8,1,0,12479.436,12475,11.89405895055,1.4826,12474,12474,12474,12474,12474,12474,12475,12476,12478,12482,12489,12498,12511.025,0.999769105981186,2224.22987006292,1998.1872206637,2022-04-30
"Reference: Fixed, Report: Day of Week",2022-04-23,2022-04-30,1,10518,10518,7,1,0,10528.2725,10520,21.5503237093086,2.9652,10518,10518,10518,10518,10518,10519,10520,10522,10526,10532,10548,10567.05,10593,0.999209986469194,1859.55300796626,1955.6428421905,2022-04-30
"Reference: Fixed, Report: Day of Week",2022-04-24,2022-04-30,1,11820,11820,6,1,0,11868.8405,11838,86.7157244574713,25.2042,11820,11820,11821,11823,11826,11831,11838,11849,11864,11890,11945,12022,12107.075,1.00052103257692,2299.5825323636,1937.53117125955,2022-04-30
