"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-29,2022-06-07,1,4659,4659,9,1,0.0008585533376261,4659,4659,0,0,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,NA,NA,NA,2022-06-07
"Reference: Fixed, Report: Fixed",2022-05-30,2022-06-07,1,5860,5860,8,1,0.0015358361774744,5863.389,5860,9.33971595644501,0,5860,5860,5860,5860,5860,5860,5860,5860,5861,5864,5869,5879.05,5892.025,1.00145229872812,1934.94025429055,1855.2661409274,2022-06-07
"Reference: Fixed, Report: Fixed",2022-05-31,2022-06-07,1,5637,5637,7,1,0.00727337236118503,5652.5315,5640,34.7236212496097,4.4478,5637,5637,5637,5637,5637,5638,5640,5643,5647,5658,5678,5710,5757.025,1.00000773571911,1947.68125242132,1840.19903343278,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-01,2022-06-07,1,5613,5613,6,1,0.0165686798503474,5674.8875,5629,122.6667942638,23.7216,5613,5613,5613,5614,5617,5622,5629,5641,5660,5695.2,5782.1,5890,6049.125,1.00002492005131,2018.28850473848,1803.53759150618,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-02,2022-06-07,1,4970,4970,5,1,0.0173038229376258,5187.0475,5026,544.978672170123,78.5778,4970,4970,4972,4978,4988,5003.6,5026,5063,5122,5248,5535,5957.4,6442.05,0.999851723011689,2111.98346086312,2076.43262905386,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-03,2022-06-07,1,5438,5438,4,1,0.0216991541007723,6127.3455,5647.5,1422.48796449542,279.4701,5439,5442,5449.9,5474,5510,5564.6,5647.5,5767,5944,6328.2,7250.4,8408.6,9709.44999999999,1.00031391995583,2083.37718790779,1859.59158539413,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-04,2022-06-07,1,6046,6046,3,1,0.0689712206417466,8285.7465,6732,4423.14602354597,922.1772,6052,6062,6087,6170.8,6292.7,6471.2,6732,7162.8,7869.3,9034.4,11940.2,15849.05,20760.75,0.999511028017235,1776.13378055638,1966.1896613193,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-05,2022-06-07,1,7855,7855,2,1,0.347167409293444,13595.645,9680.5,13008.7045584916,2396.6229,7879,7913,7994.9,8191.6,8535.7,9036.2,9680.5,10625,12310.2,15578.6,22705.3,32194.45,40805.925,0.999724376417778,1859.8813706827,1900.0100307996,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-06,2022-06-07,1,6703,6703,1,1,1,18073.5525,10954.5,20739.8278764414,5541.9588,6767.975,6832.9,7033.9,7553.4,8387.8,9315.8,10954.5,13227.4,16618.6,22721.4,35610.6000000001,53483.15,72228.075,0.999795557171485,1928.68020880026,1922.58952914134,2022-06-07
"Reference: Fixed, Report: Fixed",2022-06-07,2022-06-07,1,0,0,0,NA,NA,11989.321,5293,20547.9268067118,6323.289,159.975,299.95,578.9,1324.6,2297.2,3624.6,5293,7696.4,10992.7,16499.8,29231.8,44634.65,66749.1,1.00044569247239,1791.33550870801,1548.83676058324,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-05-29,2022-06-07,1,4659,4659,9,1,0.0008585533376261,4659,4659,0,0,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,NA,NA,NA,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-05-30,2022-06-07,1,5860,5860,8,1,0.0015358361774744,5862.348,5861,4.06179087011336,1.4826,5860,5860,5860,5860,5860,5860,5861,5861,5862,5864,5867,5870,5873,1.00069884433176,1988.53393085423,1931.97387054643,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-05-31,2022-06-07,1,5637,5637,7,1,0.00727337236118503,5649.726,5643,18.2122147577715,7.413,5637,5637,5637,5638,5640,5641,5643,5646,5650,5657,5670,5682,5699.025,1.00032239219097,1955.4769475999,1823.19717453448,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-01,2022-06-07,1,5613,5613,6,1,0.0165686798503474,5653.1775,5635,55.6919364867556,23.7216,5613,5614,5616,5620,5623,5628,5635,5643,5655,5673,5708,5747,5797.05,0.999482822127461,2253.65025857423,2146.40647222326,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-02,2022-06-07,1,4970,4970,5,1,0.0173038229376258,5045.25,5011,100.227218097799,42.9954,4972,4974,4977,4983,4990,5000,5011,5026,5046.3,5082.2,5152,5233.4,5339.025,1.00043409264256,1896.996893648,1951.32166411892,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-03,2022-06-07,1,5438,5438,4,1,0.0216991541007723,5560.084,5497.5,175.963998045919,64.4931,5441,5444,5449,5458,5467,5481,5497.5,5524,5558,5611.2,5742.1,5890,6058.375,1.00146299048493,1945.08920355377,1900.39327999563,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-04,2022-06-07,1,6046,6046,3,1,0.0689712206417466,6342.609,6201,396.990111581317,166.0512,6055,6062,6073.9,6096,6125,6159,6201,6260,6358,6489.2,6776.2,7098.1,7491.1,1.00000831142863,2016.18110810388,1864.54956551082,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-05,2022-06-07,1,7855,7855,2,1,0.347167409293444,9548.53,8763,2272.07254636113,932.5554,7924,7965.95,8025,8180.8,8336.7,8515.4,8763,9056.2,9576,10337.2,11845.6,14044.2,16008.375,0.999670321587208,2102.64988533215,1913.96909265146,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-06,2022-06-07,1,6703,6703,1,1,1,12395.208,10307,6321.92219786624,3364.0194,7069,7234,7541.9,8155.8,8810.9,9491.4,10307,11472,12915.3,15105.6,19796.1,24361.4,29106.075,0.999213191513382,2014.38473461868,1965.65205780268,2022-06-07
"Reference: Fixed, Report: Day of Week",2022-06-07,2022-06-07,1,0,0,0,NA,NA,7264.574,5418,6858.14355369042,4318.0725,682.6,968.6,1442.8,2496.8,3416.7,4321.4,5418,6734,8314.4,10739.8,14550.6,19324.65,23913.425,0.99946849360074,2007.17315861961,1569.57040318442,2022-06-07
"Reference: Week, Report: Day of Week",2022-05-29,2022-06-07,1,4659,4659,9,1,0.0008585533376261,4659,4659,0,0,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,4659,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-05-30,2022-06-07,1,5860,5860,8,1,0.0015358361774744,5865.10073452256,5862,7.41678835210429,2.9652,5860,5860,5860,5860,5861,5861,5862,5863,5865,5869,5875,5880,5888,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-05-31,2022-06-07,1,5637,5637,7,1,0.00727337236118503,5653.98950682057,5648,18.4436427260023,13.3434,5637,5637,5638,5640,5642,5644,5648,5652,5658,5665,5679,5693.4,5705.2,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-01,2022-06-07,1,5613,5613,6,1,0.0165686798503474,5666.34732423924,5646,58.2584977362448,31.1346,5615,5617,5620,5626,5632,5638,5646,5656,5671,5698,5740,5784,5831.2,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-02,2022-06-07,1,4970,4970,5,1,0.0173038229376258,5084.03777544596,5047,117.29049192448,77.0952,4976,4978,4984,4996,5010.6,5026,5047,5068.2,5101.4,5154.6,5239.8,5316.4,5381.6,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-03,2022-06-07,1,5438,5438,4,1,0.0216991541007723,5565.67156348374,5516,147.056319598283,77.0952,5446,5450,5456,5467,5480,5496.8,5516,5539,5575.4,5636.6,5737,5855,5954.2,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-04,2022-06-07,1,6046,6046,3,1,0.0689712206417466,6050.43441762854,6048,6.76497336304542,2.9652,6046,6046,6046,6046,6046,6047,6048,6049,6051,6054,6059,6064,6068,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-05,2022-06-07,1,7855,7855,2,1,0.347167409293444,8351.74921301154,8077,725.419848775731,287.6244,7858.8,7862.6,7872.2,7894,7933,7986.6,8077,8185.4,8358.2,8658.8,9151,9851,10595.2,NA,NA,NA,2022-06-07
"Reference: Week, Report: Day of Week",2022-06-06,2022-06-07,1,6703,6703,1,1,1,10481.1888772298,8668,4629.49344448431,2388.4686,6794.6,6835.8,6987,7241.8,7585.8,8035.6,8668,9852.2,11055.2,12862,15978.4,19772.4,24046.4,NA,NA,NA,2022-06-07
