"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-04-22,2022-05-01,1,12474,12474,9,1,0,12474,12474,0,0,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,NA,NA,NA,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-23,2022-05-01,1,10518,10518,8,1,0,10524.044,10518,21.0766975019521,0,10518,10518,10518,10518,10518,10518,10518,10518,10519,10521.2,10533,10554,10573.025,1.00028085278226,1888.54185483125,1805.3797040089,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-24,2022-05-01,1,11820,11820,7,1,0,11848.732,11822,87.9853788390135,2.9652,11820,11820,11820,11820,11820,11821,11822,11826,11833,11848,11893,11962.1,12043.225,0.99976666872166,2004.47769349009,2104.85174689762,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-25,2022-05-01,1,13256,13256,6,1,0,13340.605,13270,208.937187568835,20.7564,13256,13256,13256,13256,13258,13262,13270,13283,13305,13353,13466.1,13659.05,13971.05,1.00034570539076,1749.3271107339,1824.01334869601,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-26,2022-05-01,1,10920,10920,5,1,0,11194.2845,10974,654.144356376511,78.5778,10920,10920,10921,10924,10933,10946.6,10974,11014,11096,11265.2,11644.6,12225.6,12847.125,0.999475692409136,1917.6303947213,1945.68221209063,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-27,2022-05-01,1,9330,9330,4,1,0,10293.603,9500.5,2484.96864969882,240.9225,9330,9331,9335,9350,9376,9423.6,9500.5,9633.4,9835.3,10374.2,11697.2,13923.55,16886.9,0.999671226077712,1792.55914033191,1940.09666379077,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-28,2022-05-01,1,5814,5814,3,1,0,9034.2725,6418.5,8783.61880257097,853.9776,5816,5819,5833,5879,5973.4,6140.2,6418.5,6830.8,7696.3,9567,13659,20644.7,29182.05,1.00054024854116,1931.21823160575,1826.16982777094,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-29,2022-05-01,1,0,0,2,NA,NA,8745.6745,1588,24570.3267316574,2197.2132,9.975,26,69.9,219.8,480,920.2,1588,2592,4787.6,8444.40000000001,20218,35993.65,68422.9999999998,1.00063601125986,1881.58966163859,1934.76367544225,2022-05-01
"Reference: Fixed, Report: Fixed",2022-04-30,2022-05-01,1,0,0,1,NA,NA,14734.9245,3074.5,38092.3424722911,4262.475,18.975,49,144,433.6,897.7,1624.6,3074.5,5149.8,9215.8,16860.2,36133.8,66561.7,106202.8,1.00151576275677,1995.52828600024,1875.28975988666,2022-05-01
"Reference: Fixed, Report: Fixed",2022-05-01,2022-05-01,1,0,0,0,NA,NA,16828.362,4394,40584.3317893291,5894.0763,41.925,99.9,268.1,668.2,1445,2776.6,4394,6948.2,11722.6,20889.8,42813.4,73975.35,118979.6,1.00100992281367,1987.79972202122,1921.44545577052,2022-05-01
"Reference: Fixed, Report: Day of Week",2022-04-22,2022-05-01,1,12474,12474,9,1,0,12474,12474,0,0,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,NA,NA,NA,2022-05-01
